frame_id,track_id,class,dist_m,speed_ms,ttc_s,state
1,1,Obstacle,0.493,0.0,inf,STATIC
1,2,Obstacle,0.923,0.0,inf,STATIC
2,1,Obstacle,0.493,-0.0,inf,DYNAMIC
3,1,Obstacle,0.493,-0.0,inf,DYNAMIC
4,1,Obstacle,0.494,-0.0,inf,DYNAMIC
5,1,Obstacle,0.494,-0.0,inf,DYNAMIC
6,1,Obstacle,0.495,-0.0,inf,STATIC
7,1,Obstacle,0.495,-0.0,inf,STATIC
7,5,Obstacle,0.377,0.0,inf,STATIC
8,1,Obstacle,0.495,-0.0,inf,STATIC
8,5,Obstacle,0.377,-0.0,inf,DYNAMIC
9,1,Obstacle,0.495,-0.0,inf,STATIC
10,1,Obstacle,0.495,-0.0,inf,STATIC
10,5,Obstacle,0.379,-0.001,inf,DYNAMIC
11,1,Obstacle,0.495,-0.0,inf,STATIC
12,1,Obstacle,0.495,-0.0,inf,STATIC
13,1,Obstacle,0.495,-0.0,inf,STATIC
14,1,Obstacle,0.495,-0.0,inf,STATIC
15,1,Obstacle,0.495,-0.0,inf,STATIC
16,1,Obstacle,0.495,-0.0,inf,STATIC
16,2,Obstacle,0.832,0.003,inf,DYNAMIC
17,1,Obstacle,0.495,-0.0,inf,STATIC
18,1,Obstacle,0.495,-0.0,inf,STATIC
19,1,Obstacle,0.495,-0.0,inf,STATIC
20,1,Obstacle,0.495,-0.0,inf,STATIC
20,2,Obstacle,0.807,0.01,80.5,DYNAMIC
21,1,Obstacle,0.495,-0.0,inf,STATIC
21,2,Obstacle,0.79,0.022,36.35,DYNAMIC
22,1,Obstacle,0.495,-0.0,inf,STATIC
22,2,Obstacle,0.773,0.037,20.8,DYNAMIC
23,1,Obstacle,0.495,-0.0,inf,STATIC
23,2,Obstacle,0.761,0.052,14.49,DYNAMIC
24,1,Obstacle,0.495,-0.0,inf,STATIC
24,2,Obstacle,0.744,0.068,10.96,DYNAMIC
25,1,Obstacle,0.495,-0.0,inf,STATIC
25,2,Obstacle,0.727,0.084,8.65,DYNAMIC
26,1,Obstacle,0.495,-0.0,inf,STATIC
26,2,Obstacle,0.71,0.099,7.16,DYNAMIC
27,1,Obstacle,0.495,-0.0,inf,STATIC
28,1,Obstacle,0.495,-0.0,inf,STATIC
28,2,Obstacle,0.699,0.111,6.27,DYNAMIC
29,1,Obstacle,0.495,-0.0,inf,STATIC
29,2,Obstacle,0.687,0.119,5.78,DYNAMIC
30,1,Obstacle,0.495,-0.0,inf,STATIC
30,2,Obstacle,0.682,0.123,5.54,DYNAMIC
31,1,Obstacle,0.495,-0.0,inf,STATIC
31,2,Obstacle,0.678,0.124,5.46,DYNAMIC
32,1,Obstacle,0.495,-0.0,inf,STATIC
32,2,Obstacle,0.673,0.123,5.45,DYNAMIC
33,1,Obstacle,0.495,-0.0,inf,STATIC
33,2,Obstacle,0.671,0.121,5.53,DYNAMIC
34,1,Obstacle,0.495,-0.0,inf,STATIC
34,2,Obstacle,0.667,0.117,5.68,DYNAMIC
35,1,Obstacle,0.495,-0.0,inf,STATIC
35,2,Obstacle,0.666,0.113,5.92,DYNAMIC
36,1,Obstacle,0.495,-0.0,inf,STATIC
36,2,Obstacle,0.666,0.107,6.23,DYNAMIC
37,1,Obstacle,0.495,-0.0,inf,STATIC
37,2,Obstacle,0.666,0.101,6.6,DYNAMIC
38,1,Obstacle,0.495,-0.0,inf,STATIC
38,2,Obstacle,0.667,0.095,7.02,DYNAMIC
39,1,Obstacle,0.495,-0.0,inf,STATIC
39,2,Obstacle,0.668,0.089,7.48,DYNAMIC
40,1,Obstacle,0.495,-0.0,inf,STATIC
40,2,Obstacle,0.668,0.084,7.97,DYNAMIC
41,1,Obstacle,0.495,-0.0,inf,STATIC
41,2,Obstacle,0.668,0.078,8.52,DYNAMIC
42,1,Obstacle,0.495,-0.0,inf,STATIC
42,2,Obstacle,0.669,0.073,9.12,DYNAMIC
43,1,Obstacle,0.495,-0.0,inf,STATIC
43,2,Obstacle,0.67,0.069,9.77,DYNAMIC
44,1,Obstacle,0.495,-0.0,inf,STATIC
44,2,Obstacle,0.669,0.064,10.52,DYNAMIC
45,1,Obstacle,0.495,-0.0,inf,STATIC
45,2,Obstacle,0.67,0.059,11.39,DYNAMIC
46,1,Obstacle,0.495,-0.0,inf,STATIC
46,2,Obstacle,0.671,0.054,12.32,DYNAMIC
47,1,Obstacle,0.495,-0.0,inf,STATIC
47,2,Obstacle,0.672,0.05,13.33,DYNAMIC
48,1,Obstacle,0.495,-0.0,inf,STATIC
48,2,Obstacle,0.672,0.047,14.42,DYNAMIC
49,1,Obstacle,0.495,-0.0,inf,STATIC
50,1,Obstacle,0.495,-0.0,inf,STATIC
51,1,Obstacle,0.495,-0.0,inf,STATIC
52,1,Obstacle,0.495,-0.0,inf,STATIC
52,2,Obstacle,0.674,0.043,15.63,DYNAMIC
53,1,Obstacle,0.495,-0.0,inf,STATIC
53,2,Obstacle,0.675,0.04,16.94,DYNAMIC
54,1,Obstacle,0.495,-0.0,inf,STATIC
54,2,Obstacle,0.676,0.037,18.35,DYNAMIC
55,1,Obstacle,0.495,-0.0,inf,STATIC
55,2,Obstacle,0.675,0.034,19.58,DYNAMIC
56,1,Obstacle,0.495,-0.0,inf,STATIC
56,2,Obstacle,0.672,0.033,20.25,DYNAMIC
57,1,Obstacle,0.495,-0.0,inf,STATIC
57,2,Obstacle,0.666,0.033,20.13,DYNAMIC
58,1,Obstacle,0.495,-0.0,inf,STATIC
58,2,Obstacle,0.661,0.034,19.59,DYNAMIC
59,1,Obstacle,0.495,-0.0,inf,STATIC
59,2,Obstacle,0.657,0.035,18.95,DYNAMIC
60,1,Obstacle,0.495,-0.0,inf,STATIC
60,2,Obstacle,0.654,0.035,18.42,DYNAMIC
61,1,Obstacle,0.495,-0.0,inf,STATIC
61,2,Obstacle,0.652,0.036,18.08,DYNAMIC
62,1,Obstacle,0.495,-0.0,inf,STATIC
62,2,Obstacle,0.65,0.036,17.95,DYNAMIC
63,1,Obstacle,0.495,-0.0,inf,STATIC
63,2,Obstacle,0.649,0.036,18.01,STATIC
64,1,Obstacle,0.495,-0.0,inf,STATIC
64,2,Obstacle,0.648,0.035,18.25,STATIC
65,1,Obstacle,0.495,-0.0,inf,STATIC
65,2,Obstacle,0.648,0.035,18.69,STATIC
66,1,Obstacle,0.495,-0.0,inf,STATIC
66,2,Obstacle,0.647,0.034,19.15,STATIC
67,1,Obstacle,0.495,-0.0,inf,STATIC
67,2,Obstacle,0.645,0.033,19.68,STATIC
68,1,Obstacle,0.495,-0.0,inf,STATIC
68,2,Obstacle,0.645,0.032,20.34,STATIC
69,1,Obstacle,0.495,-0.0,inf,STATIC
69,2,Obstacle,0.644,0.031,21.11,STATIC
70,1,Obstacle,0.495,-0.0,inf,STATIC
70,2,Obstacle,0.645,0.029,22.15,STATIC
71,1,Obstacle,0.495,-0.0,inf,STATIC
71,2,Obstacle,0.645,0.027,23.64,STATIC
72,1,Obstacle,0.495,-0.0,inf,STATIC
72,2,Obstacle,0.646,0.025,25.5,STATIC
73,1,Obstacle,0.495,-0.0,inf,STATIC
73,2,Obstacle,0.647,0.023,27.61,STATIC
74,1,Obstacle,0.495,-0.0,inf,STATIC
74,2,Obstacle,0.648,0.022,29.94,STATIC
75,1,Obstacle,0.495,-0.0,inf,STATIC
75,2,Obstacle,0.648,0.02,32.44,STATIC
76,1,Obstacle,0.495,-0.0,inf,STATIC
76,2,Obstacle,0.648,0.019,34.71,STATIC
77,1,Obstacle,0.495,-0.0,inf,STATIC
77,2,Obstacle,0.647,0.018,36.84,STATIC
78,1,Obstacle,0.495,-0.0,inf,STATIC
78,2,Obstacle,0.647,0.017,38.89,STATIC
79,1,Obstacle,0.495,-0.0,inf,STATIC
79,2,Obstacle,0.647,0.016,41.4,STATIC
80,1,Obstacle,0.495,-0.0,inf,STATIC
81,1,Obstacle,0.495,-0.0,inf,STATIC
82,1,Obstacle,0.495,-0.0,inf,STATIC
82,2,Obstacle,0.648,0.015,44.5,STATIC
83,1,Obstacle,0.495,-0.0,inf,STATIC
83,2,Obstacle,0.648,0.013,48.51,STATIC
84,1,Obstacle,0.495,-0.0,inf,STATIC
84,2,Obstacle,0.656,0.01,63.51,STATIC
85,1,Obstacle,0.495,-0.0,inf,STATIC
86,1,Obstacle,0.495,-0.0,inf,STATIC
86,9,Obstacle,0.646,0.0,inf,STATIC
87,1,Obstacle,0.495,-0.0,inf,STATIC
87,9,Obstacle,0.651,-0.0,inf,DYNAMIC
88,1,Obstacle,0.495,-0.0,inf,STATIC
88,9,Obstacle,0.649,0.0,inf,DYNAMIC
89,1,Obstacle,0.495,-0.0,inf,STATIC
89,9,Obstacle,0.646,0.002,inf,DYNAMIC
90,1,Obstacle,0.495,-0.0,inf,STATIC
90,9,Obstacle,0.641,0.005,inf,DYNAMIC
91,1,Obstacle,0.495,-0.0,inf,STATIC
91,9,Obstacle,0.638,0.01,inf,STATIC
92,1,Obstacle,0.495,-0.0,inf,STATIC
92,9,Obstacle,0.635,0.014,46.38,STATIC
93,1,Obstacle,0.495,-0.0,inf,STATIC
93,9,Obstacle,0.633,0.017,37.61,STATIC
94,1,Obstacle,0.495,-0.0,inf,STATIC
94,9,Obstacle,0.63,0.019,32.42,STATIC
95,1,Obstacle,0.495,-0.0,inf,STATIC
95,9,Obstacle,0.628,0.021,29.5,STATIC
96,1,Obstacle,0.495,-0.0,inf,STATIC
96,9,Obstacle,0.627,0.022,28.05,STATIC
97,1,Obstacle,0.495,-0.0,inf,STATIC
97,9,Obstacle,0.627,0.022,28.0,STATIC
98,1,Obstacle,0.495,-0.0,inf,STATIC
98,9,Obstacle,0.627,0.022,29.03,STATIC
99,1,Obstacle,0.495,-0.0,inf,STATIC
99,9,Obstacle,0.628,0.02,30.93,STATIC
100,1,Obstacle,0.495,-0.0,inf,STATIC
100,9,Obstacle,0.628,0.019,33.53,STATIC
101,1,Obstacle,0.495,-0.0,inf,STATIC
101,9,Obstacle,0.629,0.017,36.66,STATIC
102,1,Obstacle,0.495,-0.0,inf,STATIC
102,9,Obstacle,0.628,0.016,39.66,STATIC
103,1,Obstacle,0.495,-0.0,inf,STATIC
103,9,Obstacle,0.628,0.015,42.43,STATIC
104,1,Obstacle,0.495,-0.0,inf,STATIC
104,9,Obstacle,0.627,0.014,45.22,STATIC
105,1,Obstacle,0.495,-0.0,inf,STATIC
105,9,Obstacle,0.627,0.013,48.15,STATIC
106,1,Obstacle,0.495,-0.0,inf,STATIC
106,9,Obstacle,0.627,0.012,51.26,STATIC
107,1,Obstacle,0.495,-0.0,inf,STATIC
107,9,Obstacle,0.627,0.011,54.87,STATIC
108,1,Obstacle,0.495,-0.0,inf,STATIC
108,9,Obstacle,0.628,0.01,60.4,STATIC
109,1,Obstacle,0.495,-0.0,inf,STATIC
109,9,Obstacle,0.629,0.009,inf,STATIC
110,1,Obstacle,0.495,-0.0,inf,STATIC
110,9,Obstacle,0.63,0.008,inf,STATIC
111,1,Obstacle,0.495,-0.0,inf,STATIC
111,9,Obstacle,0.63,0.007,inf,STATIC
112,1,Obstacle,0.495,-0.0,inf,STATIC
112,9,Obstacle,0.632,0.006,inf,STATIC
113,1,Obstacle,0.495,-0.0,inf,STATIC
113,9,Obstacle,0.633,0.005,inf,STATIC
114,1,Obstacle,0.495,-0.0,inf,STATIC
114,9,Obstacle,0.634,0.003,inf,STATIC
115,1,Obstacle,0.495,-0.0,inf,STATIC
115,9,Obstacle,0.633,0.003,inf,STATIC
116,1,Obstacle,0.495,-0.0,inf,STATIC
116,9,Obstacle,0.631,0.003,inf,STATIC
117,1,Obstacle,0.495,-0.0,inf,STATIC
117,9,Obstacle,0.63,0.003,inf,STATIC
118,1,Obstacle,0.495,-0.0,inf,STATIC
118,9,Obstacle,0.629,0.004,inf,STATIC
119,1,Obstacle,0.495,-0.0,inf,STATIC
119,9,Obstacle,0.628,0.004,inf,STATIC
120,1,Obstacle,0.495,-0.0,inf,STATIC
120,9,Obstacle,0.628,0.004,inf,STATIC
121,1,Obstacle,0.495,-0.0,inf,STATIC
122,1,Obstacle,0.495,-0.0,inf,STATIC
123,1,Obstacle,0.495,-0.0,inf,STATIC
124,1,Obstacle,0.495,-0.0,inf,STATIC
124,11,Obstacle,0.954,0.0,inf,STATIC
125,1,Obstacle,0.495,-0.0,inf,STATIC
125,11,Obstacle,0.969,-0.0,inf,DYNAMIC
126,1,Obstacle,0.495,-0.0,inf,STATIC
126,11,Obstacle,0.973,-0.002,inf,DYNAMIC
127,1,Obstacle,0.495,-0.0,inf,STATIC
127,11,Obstacle,0.976,-0.004,inf,DYNAMIC
128,1,Obstacle,0.495,-0.0,inf,STATIC
128,11,Obstacle,0.978,-0.006,inf,DYNAMIC
129,1,Obstacle,0.495,-0.0,inf,STATIC
129,11,Obstacle,0.979,-0.008,inf,STATIC
130,1,Obstacle,0.495,-0.0,inf,STATIC
130,11,Obstacle,0.98,-0.01,inf,STATIC
131,1,Obstacle,0.495,-0.0,inf,STATIC
131,11,Obstacle,0.981,-0.011,inf,STATIC
132,1,Obstacle,0.495,-0.0,inf,STATIC
132,11,Obstacle,0.982,-0.011,inf,STATIC
133,1,Obstacle,0.495,-0.0,inf,STATIC
133,11,Obstacle,0.982,-0.012,inf,STATIC
134,1,Obstacle,0.495,-0.0,inf,STATIC
134,11,Obstacle,0.982,-0.011,inf,STATIC
135,1,Obstacle,0.495,-0.0,inf,STATIC
135,11,Obstacle,0.982,-0.011,inf,DYNAMIC
136,1,Obstacle,0.495,-0.0,inf,STATIC
136,11,Obstacle,0.983,-0.01,inf,DYNAMIC
137,1,Obstacle,0.495,-0.0,inf,STATIC
137,11,Obstacle,0.983,-0.01,inf,DYNAMIC
138,1,Obstacle,0.495,-0.0,inf,STATIC
138,11,Obstacle,0.983,-0.009,inf,DYNAMIC
139,1,Obstacle,0.495,-0.0,inf,STATIC
139,11,Obstacle,0.983,-0.009,inf,DYNAMIC
140,1,Obstacle,0.495,-0.0,inf,STATIC
140,11,Obstacle,0.983,-0.008,inf,STATIC
141,1,Obstacle,0.495,-0.0,inf,STATIC
142,1,Obstacle,0.495,-0.0,inf,STATIC
143,1,Obstacle,0.495,-0.0,inf,STATIC
144,1,Obstacle,0.495,-0.0,inf,STATIC
145,1,Obstacle,0.495,-0.0,inf,STATIC
146,1,Obstacle,0.495,-0.0,inf,STATIC
147,1,Obstacle,0.495,-0.0,inf,STATIC
148,1,Obstacle,0.495,-0.0,inf,STATIC
149,1,Obstacle,0.495,-0.0,inf,STATIC
150,1,Obstacle,0.495,-0.0,inf,STATIC
151,1,Obstacle,0.495,-0.0,inf,STATIC
152,1,Obstacle,0.495,-0.0,inf,STATIC
153,1,Obstacle,0.495,-0.0,inf,STATIC
154,1,Obstacle,0.495,-0.0,inf,STATIC
155,1,Obstacle,0.495,-0.0,inf,STATIC
