frame_id,track_id,filter_mode,final_calculated_distance
1,1,2,1.137498
1,2,2,2.170237
2,1,2,1.137498
2,2,2,2.170237
3,1,2,1.1375
3,2,2,2.170393
4,1,2,1.137498
4,2,2,2.170549
5,1,2,1.137498
5,2,2,2.170393
6,1,2,1.137498
6,2,2,2.170237
7,1,2,1.137498
7,2,2,2.170237
8,1,2,1.137498
8,2,2,2.170237
9,1,2,1.137498
9,2,2,2.170237
10,1,2,1.137498
10,2,2,2.170237
11,1,2,1.137498
11,2,2,2.170237
12,1,2,1.137498
12,2,2,2.170237
13,1,2,1.137498
13,2,2,2.170237
14,1,2,1.137498
14,2,2,2.170237
15,1,2,1.137498
15,2,2,2.170237
16,1,2,1.137498
16,2,2,2.170237
17,1,2,1.137498
17,2,2,2.170237
18,1,2,1.137498
18,2,2,2.131541
19,1,2,1.137502
19,2,2,2.170237
20,1,2,1.137502
20,2,2,2.170237
21,1,2,1.137502
21,2,2,2.170237
22,1,2,1.137502
22,2,2,2.170237
23,1,2,1.137502
23,2,2,2.170237
24,1,2,1.137502
24,2,2,2.170237
25,1,2,1.137502
25,2,2,2.170237
26,1,2,1.137502
26,2,2,2.170237
27,1,2,1.137502
27,2,2,2.170549
28,1,2,1.137502
28,2,2,2.170549
29,1,2,1.137498
29,2,2,2.170549
30,1,2,1.137498
30,2,2,2.170549
31,1,2,1.137498
31,2,2,2.170549
32,1,2,1.137498
32,2,2,2.170237
33,1,2,1.137498
33,2,2,2.170237
34,1,2,1.137498
34,2,2,2.170237
35,1,2,1.137498
35,2,2,2.170237
36,1,2,1.137502
36,2,2,2.170237
37,1,2,1.137502
37,2,2,2.170237
38,1,2,1.137502
38,2,2,2.170237
39,1,2,1.137502
39,2,2,2.170237
40,1,2,1.137502
40,2,2,2.170237
41,1,2,1.137498
41,2,2,2.170237
42,1,2,1.137498
42,2,2,2.170237
43,1,2,1.137502
43,2,2,2.170237
44,1,2,1.137502
44,2,2,2.170237
45,1,2,1.137502
45,2,2,2.170237
46,1,2,1.137502
46,2,2,2.170237
47,1,2,1.137502
47,2,2,2.170237
48,1,2,1.137502
48,2,2,2.170237
49,1,2,1.137502
49,2,2,2.170237
50,1,2,1.137498
50,2,2,2.170237
51,1,2,1.137498
51,2,2,2.170237
52,1,2,1.137498
52,2,2,2.170237
53,1,2,1.137498
53,2,2,2.170237
54,1,2,1.137498
54,2,2,2.170237
55,1,2,1.137498
55,2,2,2.170237
56,1,2,1.137498
56,2,2,2.170237
57,1,2,1.137498
57,2,2,2.170549
58,1,2,1.137498
58,2,2,2.170549
59,1,2,1.137498
59,2,2,2.170237
60,1,2,1.137502
60,2,2,2.170237
61,1,2,1.137498
61,2,2,2.170237
62,1,2,1.137498
62,2,2,2.170237
63,1,2,1.137498
63,2,2,2.170237
64,1,2,1.137498
64,2,2,2.170237
65,1,2,1.137498
65,2,2,2.170237
66,1,2,1.137498
66,2,2,2.170237
67,1,2,1.137498
67,2,2,2.170237
68,1,2,1.137498
68,2,2,2.170237
69,1,2,1.137498
69,2,2,2.170237
70,1,2,1.137498
70,2,2,2.170549
71,1,2,1.137498
71,2,2,2.170549
72,1,2,1.137498
72,2,2,2.170549
73,1,2,1.137498
73,2,2,2.170237
74,1,2,1.137498
74,2,2,2.170237
75,1,2,1.137498
75,2,2,2.170237
76,1,2,1.137498
76,2,2,2.131541
77,1,2,1.137498
77,2,2,2.131541
78,1,2,1.137498
78,2,2,2.170237
79,1,2,1.137498
79,2,2,2.170237
80,1,2,1.137498
80,2,2,2.170237
81,1,2,1.137498
81,2,2,2.170237
82,1,2,1.137498
82,2,2,2.170237
83,1,2,1.137498
83,2,2,2.170237
84,1,2,1.137498
84,2,2,2.170237
85,1,2,1.137498
85,2,2,2.170237
86,1,2,1.137498
86,2,2,2.170237
87,1,2,1.137498
87,2,2,2.170237
88,1,2,1.137502
88,2,2,2.170237
89,1,2,1.137502
89,2,2,2.170237
90,1,2,1.137502
90,2,2,2.170237
91,1,2,1.137502
91,2,2,2.170237
92,1,2,1.137502
92,2,2,2.170237
93,1,2,1.137498
93,2,2,2.170549
94,1,2,1.137498
94,2,2,2.170549
95,1,2,1.137498
95,2,2,2.170549
96,1,2,1.137498
96,2,2,2.170549
97,1,2,1.137498
97,2,2,2.170237
98,1,2,1.137502
98,2,2,2.170237
99,1,2,1.137502
99,2,2,2.170237
100,1,2,1.137502
100,2,2,2.170237
101,1,2,1.137502
101,2,2,2.170237
102,1,2,1.137502
102,2,2,2.170237
103,1,2,1.137502
103,2,2,2.170237
104,1,2,1.137502
104,2,2,2.170237
105,1,2,1.137502
105,2,2,2.170237
106,1,2,1.137502
106,2,2,2.170549
107,1,2,1.137502
107,2,2,2.170549
108,1,2,1.137502
108,2,2,2.170237
109,1,2,1.137502
109,2,2,2.170237
110,1,2,1.137502
110,2,2,2.170237
111,1,2,1.137498
111,2,2,2.170237
112,1,2,1.137498
112,2,2,2.170237
113,1,2,1.137498
113,2,2,2.170237
114,1,2,1.137498
114,2,2,2.170237
115,1,2,1.137498
115,2,2,2.170549
116,1,2,1.137502
116,2,2,2.170237
117,1,2,1.137502
117,2,2,2.170237
118,1,2,1.137502
118,2,2,2.170237
119,1,2,1.137502
119,2,2,2.170549
120,1,2,1.137502
120,2,2,2.170549
121,1,2,1.137502
121,2,2,2.170549
122,1,2,1.137502
122,2,2,2.170549
123,1,2,1.137502
123,2,2,2.170237
124,1,2,1.137502
124,2,2,2.170237
125,1,2,1.137502
