frame_id,timestamp,fps,total_detections,global_action
1,1776910843.7941182,250.02,2,GO
2,1776910843.9046302,0.77,2,GO
3,1776910843.960139,18.52,2,GO
4,1776910844.0221386,15.27,2,GO
5,1776910844.0866568,16.13,2,GO
6,1776910844.1456597,16.0,2,GO
7,1776910844.200173,19.61,2,GO
8,1776910844.2667167,15.27,2,GO
9,1776910844.3237085,16.79,2,GO
10,1776910844.3869355,15.62,2,GO
11,1776910844.451932,16.07,2,GO
12,1776910844.5114388,16.0,2,GO
13,1776910844.5609477,20.0,2,GO
14,1776910844.6259475,15.75,2,GO
15,1776910844.687462,15.87,2,GO
16,1776910844.7474637,16.26,2,GO
17,1776910844.7969682,20.0,2,GO
18,1776910844.8489716,21.5,2,GO
19,1776910844.905476,15.75,2,GO
20,1776910844.9609942,20.83,2,GO
21,1776910845.0169907,15.74,2,GO
22,1776910845.070506,20.83,2,GO
23,1776910845.1285024,15.75,2,GO
24,1776910845.1770124,21.28,2,GO
25,1776910845.2270124,21.05,2,GO
26,1776910845.2885365,15.87,2,GO
27,1776910845.33754,21.05,2,GO
28,1776910845.3860462,20.83,2,GO
29,1776910845.445052,16.26,2,GO
30,1776910845.4975667,20.83,2,GO
31,1776910845.557575,15.75,2,GO
32,1776910845.60308,21.04,2,GO
33,1776910845.6520846,20.83,2,GO
34,1776910845.6995988,20.61,2,GO
35,1776910845.7506032,20.83,2,GO
36,1776910845.7971077,21.27,2,GO
37,1776910845.8421075,21.05,2,GO
38,1776910845.8966167,20.41,2,GO
39,1776910845.954968,16.0,2,GO
40,1776910846.0044944,20.46,2,GO
41,1776910846.0565126,20.83,2,GO
42,1776910846.119044,15.99,2,GO
43,1776910846.1795535,15.87,2,GO
44,1776910846.2305534,20.61,2,GO
45,1776910846.2920628,15.87,2,GO
46,1776910846.3570678,15.75,2,GO
47,1776910846.4235759,15.26,2,GO
48,1776910846.4860878,15.87,2,GO
49,1776910846.5470877,16.0,2,GO
50,1776910846.6126153,16.25,2,GO
51,1776910846.6671412,15.63,2,GO
52,1776910846.7221417,21.04,2,GO
53,1776910846.7847009,15.38,2,GO
54,1776910846.8477166,15.73,2,GO
55,1776910846.9091218,16.28,2,GO
56,1776910846.9781234,15.63,2,GO
57,1776910847.034125,15.87,2,GO
58,1776910847.0816483,20.41,2,GO
59,1776910847.1316519,21.04,2,GO
60,1776910847.1811612,20.83,2,GO
61,1776910847.2451615,15.74,2,GO
62,1776910847.3126676,15.75,2,GO
63,1776910847.374186,15.63,2,GO
64,1776910847.4381855,16.0,2,GO
65,1776910847.494696,15.62,2,GO
66,1776910847.5476985,21.5,2,GO
67,1776910847.6072054,15.75,2,GO
68,1776910847.6582115,20.83,2,GO
69,1776910847.7174625,15.81,2,GO
70,1776910847.7679765,20.41,2,GO
71,1776910847.8309765,15.99,2,GO
72,1776910847.896489,15.87,2,GO
73,1776910847.9564943,16.0,2,GO
74,1776910848.0211823,15.95,2,GO
75,1776910848.0766938,16.67,2,GO
76,1776910848.127694,20.61,2,GO
77,1776910848.192237,15.38,2,GO
78,1776910848.2562537,15.99,2,GO
79,1776910848.3157556,16.0,2,GO
80,1776910848.3642678,20.41,2,GO
81,1776910848.4132688,21.5,2,GO
82,1776910848.4592729,20.83,2,GO
83,1776910848.5097854,21.05,2,GO
84,1776910848.570309,15.63,2,GO
85,1776910848.6183007,21.49,2,GO
86,1776910848.6698318,20.83,2,GO
87,1776910848.7288258,15.74,2,GO
88,1776910848.7803862,20.83,2,GO
89,1776910848.8453777,15.99,2,GO
90,1776910848.906884,15.5,2,GO
91,1776910848.97141,15.62,2,GO
92,1776910849.030409,16.25,2,GO
93,1776910849.0899265,16.39,2,GO
94,1776910849.1409256,20.61,2,GO
95,1776910849.2084317,16.0,2,GO
96,1776910849.2709672,15.62,2,GO
97,1776910849.328964,15.99,2,GO
98,1776910849.3810432,20.83,2,GO
99,1776910849.4430408,15.61,2,GO
100,1776910849.502548,16.26,2,GO
101,1776910849.5535605,21.28,2,GO
102,1776910849.6160555,15.5,2,GO
103,1776910849.677569,15.63,2,GO
104,1776910849.727569,21.5,2,GO
105,1776910849.7910917,15.38,2,GO
106,1776910849.8570926,15.5,2,GO
107,1776910849.917618,15.74,2,GO
108,1776910849.979126,15.87,2,GO
109,1776910850.031134,21.04,2,GO
110,1776910850.0937536,15.62,2,GO
111,1776910850.1567662,15.99,2,GO
112,1776910850.219212,15.74,2,GO
113,1776910850.2857318,15.63,2,GO
114,1776910850.346464,16.07,2,GO
115,1776910850.4102411,15.7,2,GO
116,1776910850.4716666,16.13,2,GO
