frame_id,timestamp,fps,total_detections,global_action
1,1776841235.0939958,38.59,1,SLOW
2,1776841235.1978893,0.7,1,SLOW
3,1776841235.2779014,12.6,1,SLOW
4,1776841235.3534346,12.73,1,SLOW
5,1776841235.4271338,12.5,1,SLOW
6,1776841235.5067382,12.71,1,SLOW
7,1776841235.585379,12.72,1,SLOW
8,1776841235.6620572,12.4,1,SLOW
9,1776841235.7435594,12.8,1,SLOW
10,1776841235.8210325,12.99,1,SLOW
11,1776841235.9014547,12.4,1,SLOW
12,1776841235.9820685,12.45,1,SLOW
13,1776841236.0600684,13.06,1,SLOW
14,1776841236.1398516,12.71,1,SLOW
15,1776841236.2174761,12.5,1,SLOW
16,1776841236.3011594,12.55,1,SLOW
17,1776841236.3747106,12.34,1,SLOW
18,1776841236.4512792,13.03,1,SLOW
19,1776841236.5365171,12.82,1,SLOW
20,1776841236.610618,12.78,1,SLOW
21,1776841236.680046,12.64,1,SLOW
22,1776841236.7555664,14.7,1,SLOW
23,1776841236.8209105,13.89,1,SLOW
24,1776841236.8926165,15.58,1,SLOW
25,1776841236.9776173,12.36,1,SLOW
26,1776841237.0473948,12.55,1,SLOW
27,1776841237.1150753,15.63,1,SLOW
28,1776841237.19078,12.7,1,SLOW
29,1776841237.2507799,15.96,1,SLOW
30,1776841237.319484,14.9,1,SLOW
31,1776841237.4032812,12.56,1,SLOW
32,1776841237.4792986,12.7,1,SLOW
33,1776841237.5619009,12.57,1,SLOW
34,1776841237.6374362,12.88,1,SLOW
35,1776841237.713034,12.49,1,SLOW
36,1776841237.777765,15.82,1,SLOW
37,1776841237.8444104,15.5,1,SLOW
38,1776841237.9269185,12.33,1,SLOW
39,1776841238.0044394,12.74,1,SLOW
40,1776841238.086747,12.42,1,SLOW
41,1776841238.1658175,12.92,1,SLOW
42,1776841238.2445838,13.04,1,SLOW
43,1776841238.3190136,12.34,1,SLOW
44,1776841238.403637,12.9,1,SLOW
45,1776841238.480711,12.24,1,SLOW
46,1776841238.5509799,13.48,1,SLOW
47,1776841238.6186085,15.38,1,SLOW
48,1776841238.701205,12.55,1,SLOW
49,1776841238.784206,12.27,1,SLOW
50,1776841238.8568938,12.54,1,SLOW
51,1776841238.9394102,12.74,1,SLOW
52,1776841239.011922,12.66,1,SLOW
53,1776841239.0709243,16.53,1,SLOW
54,1776841239.137429,15.04,1,SLOW
55,1776841239.2069645,15.62,1,SLOW
56,1776841239.291744,12.57,1,SLOW
57,1776841239.3587406,13.02,1,SLOW
58,1776841239.4288604,15.98,1,SLOW
59,1776841239.5103967,12.42,1,SLOW
60,1776841239.5849028,12.42,1,SLOW
61,1776841239.670907,12.9,1,SLOW
