frame_id,timestamp,fps,total_detections,global_action
1,1774689157.7344315,117.73,0,GO
2,1774689157.8259747,0.71,0,GO
3,1774689157.8829753,18.34,1,STOP
4,1774689157.948488,15.15,1,STOP
5,1774689158.0084906,16.26,1,STOP
6,1774689158.07766,15.58,1,STOP
7,1774689158.1371956,15.88,1,STOP
8,1774689158.2002954,16.24,1,STOP
9,1774689158.26598,15.79,1,STOP
10,1774689158.3214881,15.77,1,STOP
11,1774689158.384491,15.99,1,STOP
12,1774689158.4480007,15.39,1,STOP
13,1774689158.511003,15.75,1,STOP
14,1774689158.574511,15.75,1,STOP
15,1774689158.6402283,16.07,1,STOP
16,1774689158.7042284,15.26,1,STOP
17,1774689158.7717416,15.75,1,STOP
18,1774689158.8352547,15.62,1,STOP
19,1774689158.8982756,15.75,1,STOP
20,1774689158.9607863,15.38,1,STOP
21,1774689159.0212734,16.26,1,STOP
22,1774689159.0842757,15.75,1,STOP
23,1774689159.1457832,15.62,1,STOP
24,1774689159.2097857,15.75,1,STOP
25,1774689159.2802901,15.75,1,STOP
26,1774689159.3368063,15.62,1,STOP
27,1774689159.4028032,15.74,1,STOP
28,1774689159.4713202,15.5,1,STOP
29,1774689159.5348227,15.38,1,STOP
30,1774689159.597825,15.26,1,STOP
31,1774689159.6613579,15.87,1,STOP
32,1774689159.725862,15.5,1,STOP
33,1774689159.787862,16.0,1,STOP
34,1774689159.8533738,15.62,1,STOP
35,1774689159.9123998,16.26,1,OVERTAKE
36,1774689159.979727,15.26,1,OVERTAKE
37,1774689160.0412412,15.67,1,OVERTAKE
38,1774689160.1062381,16.0,1,OVERTAKE
39,1774689160.1747484,15.75,1,OVERTAKE
40,1774689160.2322586,15.62,1,OVERTAKE
41,1774689160.2942631,16.26,1,OVERTAKE
42,1774689160.3619993,15.6,1,OVERTAKE
43,1774689160.4246104,15.24,1,OVERTAKE
44,1774689160.49161,15.71,1,OVERTAKE
45,1774689160.5531452,16.14,1,OVERTAKE
46,1774689160.6181273,15.27,1,OVERTAKE
47,1774689160.6796362,16.0,1,OVERTAKE
48,1774689160.7421427,15.63,1,OVERTAKE
49,1774689160.8074818,15.75,1,OVERTAKE
50,1774689160.8689892,16.71,1,OVERTAKE
51,1774689160.9314978,15.38,1,OVERTAKE
52,1774689160.9934978,16.53,1,OVERTAKE
53,1774689161.0500107,16.13,1,OVERTAKE
54,1774689161.1190128,15.04,1,OVERTAKE
55,1774689161.1805174,16.0,1,OVERTAKE
56,1774689161.2490299,15.38,1,OVERTAKE
57,1774689161.3120525,15.75,1,OVERTAKE
58,1774689161.3735924,15.98,1,OVERTAKE
59,1774689161.437096,15.38,1,OVERTAKE
60,1774689161.505117,15.75,1,OVERTAKE
61,1774689161.5676482,15.99,1,OVERTAKE
62,1774689161.631212,15.38,1,OVERTAKE
63,1774689161.691191,15.73,1,OVERTAKE
64,1774689161.7547271,15.87,1,OVERTAKE
65,1774689161.820735,15.75,1,OVERTAKE
66,1774689161.8852425,15.03,1,OVERTAKE
67,1774689161.9437544,16.67,1,OVERTAKE
68,1774689162.0077574,15.74,1,OVERTAKE
69,1774689162.0762622,15.27,1,OVERTAKE
70,1774689162.1347735,16.13,1,OVERTAKE
71,1774689162.203344,15.75,1,OVERTAKE
72,1774689162.2668743,15.6,1,OVERTAKE
73,1774689162.3254735,16.95,1,OVERTAKE
74,1774689162.390454,15.48,1,OVERTAKE
75,1774689162.4540637,15.85,1,OVERTAKE
76,1774689162.5219486,15.27,1,OVERTAKE
77,1774689162.5954788,12.92,1,OVERTAKE
78,1774689162.6579654,15.62,1,OVERTAKE
79,1774689162.7189705,16.8,1,OVERTAKE
80,1774689162.783504,15.26,1,OVERTAKE
81,1774689162.848086,15.38,1,OVERTAKE
82,1774689162.9150898,15.98,1,OVERTAKE
83,1774689162.9732857,15.75,1,OVERTAKE
84,1774689163.0377982,15.7,1,OVERTAKE
85,1774689163.103798,15.74,1,OVERTAKE
86,1774689163.1603088,16.39,1,OVERTAKE
87,1774689163.2288182,15.04,1,OVERTAKE
88,1774689163.2948184,15.75,1,OVERTAKE
89,1774689163.3563523,15.61,1,OVERTAKE
90,1774689163.4173594,16.0,1,OVERTAKE
91,1774689163.484919,15.49,1,OVERTAKE
92,1774689163.5454254,16.67,1,OVERTAKE
93,1774689163.6114721,15.26,1,OVERTAKE
94,1774689163.672994,16.24,1,OVERTAKE
