frame_id,timestamp,fps,total_detections,global_action
1,1775883019.2726614,37.28,0,GO
2,1775883019.3821774,0.63,0,GO
3,1775883019.439188,17.09,0,GO
4,1775883019.4986954,16.52,0,GO
5,1775883019.564208,15.39,0,GO
6,1775883019.633211,15.74,0,GO
7,1775883019.6887262,15.5,0,GO
8,1775883019.749232,16.13,0,GO
9,1775883019.816261,15.74,0,GO
10,1775883019.8757446,16.13,0,GO
11,1775883019.935749,15.75,0,GO
12,1775883020.0038185,15.85,0,GO
13,1775883020.0639665,15.62,0,GO
14,1775883020.1249614,15.84,0,GO
15,1775883020.1914678,16.0,0,GO
16,1775883020.2589848,15.15,0,GO
17,1775883020.3239856,15.74,0,GO
18,1775883020.381493,15.62,0,GO
19,1775883020.4460022,15.75,0,GO
20,1775883020.5070047,16.53,0,GO
21,1775883020.5695221,15.62,0,GO
22,1775883020.6355236,15.75,0,GO
23,1775883020.7050297,15.27,0,GO
24,1775883020.7645435,16.13,0,GO
25,1775883020.8275414,15.74,0,GO
26,1775883020.8940556,15.5,0,GO
27,1775883020.9535635,16.13,0,GO
28,1775883021.0165846,15.75,0,GO
29,1775883021.0850723,15.15,0,GO
30,1775883021.14329,16.26,0,GO
31,1775883021.2035868,16.26,0,GO
32,1775883021.2711024,15.63,0,GO
33,1775883021.3311024,15.75,0,GO
34,1775883021.3942342,15.84,0,GO
35,1775883021.4607468,15.87,0,GO
36,1775883021.5197468,15.74,0,GO
37,1775883021.5832539,15.87,0,GO
38,1775883021.648767,15.75,0,GO
39,1775883021.7127678,15.75,0,GO
40,1775883021.7752829,15.62,0,GO
41,1775883021.8422866,15.74,0,GO
42,1775883021.899791,16.0,0,GO
43,1775883021.963301,15.87,0,GO
44,1775883022.032303,15.75,0,GO
45,1775883022.0918076,16.0,0,GO
46,1775883022.1533186,15.62,0,GO
47,1775883022.2153227,15.75,0,GO
48,1775883022.2678275,20.83,0,GO
49,1775883022.3288274,15.75,0,GO
50,1775883022.3923347,16.0,0,GO
51,1775883022.4614732,14.71,0,GO
