frame_id,track_id,class,dist_m,speed_ms,ttc_s,state
56,3,Obstacle,1.105,0.0,inf,STATIC
57,3,Obstacle,1.099,0.0,inf,DYNAMIC
58,3,Obstacle,1.098,0.0,inf,DYNAMIC
59,3,Obstacle,1.096,0.001,inf,DYNAMIC
60,3,Obstacle,1.096,0.002,inf,DYNAMIC
61,3,Obstacle,1.095,0.003,inf,STATIC
62,3,Obstacle,1.095,0.003,inf,STATIC
63,3,Obstacle,1.094,0.004,inf,STATIC
63,4,Obstacle,1.052,0.0,inf,STATIC
64,3,Obstacle,1.094,0.004,inf,STATIC
64,4,Obstacle,1.035,0.0,inf,DYNAMIC
97,7,Obstacle,0.727,0.0,inf,STATIC
98,7,Obstacle,0.722,0.0,inf,DYNAMIC
99,7,Obstacle,0.72,0.0,inf,DYNAMIC
100,7,Obstacle,0.719,0.001,inf,DYNAMIC
101,7,Obstacle,0.713,0.005,inf,DYNAMIC
102,7,Obstacle,0.702,0.014,50.92,STATIC
103,7,Obstacle,0.688,0.028,24.75,STATIC
104,7,Obstacle,0.672,0.045,14.91,STATIC
105,7,Obstacle,0.649,0.067,9.71,STATIC
106,7,Obstacle,0.625,0.092,6.82,STATIC
107,7,Obstacle,0.602,0.116,5.21,STATIC
108,7,Obstacle,0.582,0.136,4.27,STATIC
109,7,Obstacle,0.564,0.154,3.66,STATIC
110,7,Obstacle,0.546,0.169,3.24,STATIC
111,7,Obstacle,0.531,0.18,2.96,STATIC
112,7,Obstacle,0.519,0.187,2.78,STATIC
113,7,Obstacle,0.51,0.191,2.67,DYNAMIC
114,7,Obstacle,0.504,0.191,2.63,DYNAMIC
115,7,Obstacle,0.499,0.189,2.65,DYNAMIC
116,7,Obstacle,0.497,0.184,2.7,DYNAMIC
117,7,Obstacle,0.497,0.178,2.8,DYNAMIC
118,7,Obstacle,0.497,0.17,2.92,DYNAMIC
119,7,Obstacle,0.497,0.161,3.08,DYNAMIC
120,7,Obstacle,0.498,0.153,3.26,DYNAMIC
121,7,Obstacle,0.482,0.133,3.62,DYNAMIC
122,7,Obstacle,0.493,0.114,4.33,DYNAMIC
123,7,Obstacle,0.5,0.098,5.12,DYNAMIC
124,7,Obstacle,0.505,0.084,5.98,DYNAMIC
177,9,Obstacle,1.062,0.0,inf,STATIC
178,9,Obstacle,1.062,0.0,inf,DYNAMIC
187,10,Obstacle,1.336,0.0,inf,STATIC
187,11,Obstacle,1.478,0.0,inf,STATIC
188,10,Obstacle,1.344,-0.0,inf,DYNAMIC
188,11,Obstacle,1.478,-0.0,inf,DYNAMIC
189,11,Obstacle,1.481,-0.001,inf,DYNAMIC
190,11,Obstacle,1.486,-0.003,inf,DYNAMIC
190,10,Obstacle,1.346,-0.001,inf,DYNAMIC
191,11,Obstacle,1.49,-0.006,inf,DYNAMIC
191,10,Obstacle,1.348,-0.002,inf,DYNAMIC
192,11,Obstacle,1.493,-0.01,inf,STATIC
193,11,Obstacle,1.495,-0.013,inf,STATIC
193,10,Obstacle,1.351,-0.004,inf,DYNAMIC
194,11,Obstacle,1.501,-0.019,inf,STATIC
194,10,Obstacle,1.355,-0.008,inf,DYNAMIC
195,11,Obstacle,1.507,-0.025,inf,STATIC
195,10,Obstacle,1.387,-0.03,inf,DYNAMIC
196,11,Obstacle,1.512,-0.03,inf,STATIC
196,10,Obstacle,1.425,-0.066,inf,DYNAMIC
197,11,Obstacle,1.515,-0.034,inf,STATIC
197,10,Obstacle,1.462,-0.108,inf,STATIC
198,11,Obstacle,1.517,-0.037,inf,STATIC
198,10,Obstacle,1.492,-0.145,inf,STATIC
199,11,Obstacle,1.519,-0.038,inf,STATIC
199,10,Obstacle,1.513,-0.175,inf,STATIC
200,11,Obstacle,1.519,-0.038,inf,STATIC
200,10,Obstacle,1.528,-0.196,inf,STATIC
201,11,Obstacle,1.52,-0.037,inf,STATIC
202,11,Obstacle,1.52,-0.036,inf,STATIC
203,11,Obstacle,1.52,-0.035,inf,STATIC
204,11,Obstacle,1.52,-0.033,inf,STATIC
205,11,Obstacle,1.52,-0.031,inf,STATIC
206,11,Obstacle,1.517,-0.028,inf,STATIC
207,11,Obstacle,1.512,-0.024,inf,STATIC
208,11,Obstacle,1.504,-0.018,inf,STATIC
209,11,Obstacle,1.497,-0.012,inf,STATIC
210,11,Obstacle,1.492,-0.006,inf,STATIC
210,10,Obstacle,1.537,-0.207,inf,STATIC
211,11,Obstacle,1.487,-0.001,inf,STATIC
211,10,Obstacle,1.543,-0.212,inf,STATIC
212,11,Obstacle,1.484,0.004,inf,STATIC
213,11,Obstacle,1.482,0.007,inf,STATIC
214,11,Obstacle,1.48,0.01,inf,STATIC
214,13,Obstacle,1.523,0.0,inf,STATIC
215,11,Obstacle,1.479,0.012,124.97,STATIC
215,13,Obstacle,1.463,0.001,inf,DYNAMIC
216,11,Obstacle,1.478,0.013,113.18,STATIC
216,13,Obstacle,1.436,0.007,inf,DYNAMIC
217,11,Obstacle,1.478,0.014,107.3,STATIC
217,13,Obstacle,1.41,0.022,62.89,DYNAMIC
224,11,Obstacle,1.477,0.014,104.87,STATIC
225,11,Obstacle,1.477,0.014,104.68,STATIC
226,11,Obstacle,1.477,0.014,106.12,STATIC
227,11,Obstacle,1.477,0.014,108.84,STATIC
227,16,Obstacle,1.616,0.0,inf,STATIC
228,11,Obstacle,1.477,0.013,112.64,STATIC
228,16,Obstacle,1.629,-0.0,inf,DYNAMIC
229,11,Obstacle,1.477,0.013,117.41,STATIC
229,16,Obstacle,1.632,-0.001,inf,DYNAMIC
230,11,Obstacle,1.477,0.012,123.0,STATIC
230,16,Obstacle,1.635,-0.003,inf,DYNAMIC
231,11,Obstacle,1.477,0.011,129.36,STATIC
232,11,Obstacle,1.477,0.011,136.48,STATIC
234,11,Obstacle,1.477,0.01,144.5,STATIC
235,11,Obstacle,1.477,0.01,inf,STATIC
236,11,Obstacle,1.478,0.009,inf,STATIC
237,11,Obstacle,1.478,0.009,inf,STATIC
238,11,Obstacle,1.478,0.008,inf,STATIC
239,11,Obstacle,1.478,0.008,inf,STATIC
240,11,Obstacle,1.478,0.007,inf,STATIC
241,11,Obstacle,1.478,0.007,inf,STATIC
242,11,Obstacle,1.478,0.006,inf,STATIC
243,11,Obstacle,1.478,0.006,inf,STATIC
244,11,Obstacle,1.478,0.005,inf,STATIC
245,11,Obstacle,1.478,0.005,inf,STATIC
246,11,Obstacle,1.478,0.005,inf,STATIC
247,11,Obstacle,1.478,0.004,inf,STATIC
248,11,Obstacle,1.478,0.004,inf,STATIC
249,11,Obstacle,1.478,0.004,inf,STATIC
250,11,Obstacle,1.478,0.004,inf,STATIC
251,11,Obstacle,1.478,0.003,inf,STATIC
252,11,Obstacle,1.478,0.003,inf,STATIC
256,11,Obstacle,1.478,0.003,inf,STATIC
257,11,Obstacle,1.479,0.003,inf,STATIC
258,11,Obstacle,1.479,0.003,inf,STATIC
259,11,Obstacle,1.479,0.002,inf,STATIC
260,11,Obstacle,1.479,0.002,inf,STATIC
261,11,Obstacle,1.479,0.002,inf,STATIC
262,11,Obstacle,1.479,0.002,inf,STATIC
263,11,Obstacle,1.479,0.002,inf,STATIC
264,11,Obstacle,1.479,0.002,inf,STATIC
265,11,Obstacle,1.479,0.002,inf,STATIC
266,11,Obstacle,1.479,0.002,inf,STATIC
267,11,Obstacle,1.479,0.001,inf,STATIC
268,11,Obstacle,1.479,0.001,inf,STATIC
269,11,Obstacle,1.479,0.001,inf,STATIC
270,11,Obstacle,1.479,0.001,inf,STATIC
271,11,Obstacle,1.479,0.001,inf,STATIC
272,11,Obstacle,1.479,0.001,inf,STATIC
273,11,Obstacle,1.479,0.001,inf,STATIC
274,11,Obstacle,1.479,0.001,inf,STATIC
275,11,Obstacle,1.479,0.001,inf,STATIC
276,11,Obstacle,1.479,0.001,inf,STATIC
277,11,Obstacle,1.479,0.001,inf,STATIC
278,11,Obstacle,1.479,0.001,inf,STATIC
279,11,Obstacle,1.479,0.001,inf,STATIC
280,11,Obstacle,1.479,0.001,inf,STATIC
281,11,Obstacle,1.479,0.001,inf,STATIC
282,11,Obstacle,1.479,0.0,inf,STATIC
283,11,Obstacle,1.479,0.0,inf,STATIC
284,11,Obstacle,1.479,0.0,inf,STATIC
284,22,Obstacle,3.848,0.0,inf,STATIC
285,11,Obstacle,1.479,0.0,inf,STATIC
285,22,Obstacle,3.556,0.005,inf,DYNAMIC
286,11,Obstacle,1.479,0.0,inf,STATIC
286,22,Obstacle,3.538,0.012,294.96,DYNAMIC
287,11,Obstacle,1.479,0.0,inf,STATIC
287,22,Obstacle,3.58,-0.002,inf,DYNAMIC
288,11,Obstacle,1.479,0.0,inf,STATIC
288,22,Obstacle,3.687,-0.07,inf,DYNAMIC
289,11,Obstacle,1.483,-0.001,inf,STATIC
289,22,Obstacle,3.852,-0.213,inf,STATIC
290,11,Obstacle,1.487,-0.002,inf,STATIC
291,11,Obstacle,1.49,-0.004,inf,STATIC
292,11,Obstacle,1.493,-0.006,inf,STATIC
293,11,Obstacle,1.495,-0.008,inf,STATIC
294,11,Obstacle,1.493,-0.008,inf,STATIC
295,11,Obstacle,1.49,-0.008,inf,STATIC
295,22,Obstacle,4.167,-0.49,inf,STATIC
296,11,Obstacle,1.487,-0.006,inf,STATIC
297,11,Obstacle,1.485,-0.005,inf,STATIC
298,11,Obstacle,1.483,-0.004,inf,STATIC
299,11,Obstacle,1.482,-0.002,inf,STATIC
300,11,Obstacle,1.481,-0.001,inf,STATIC
301,11,Obstacle,1.481,-0.0,inf,STATIC
302,11,Obstacle,1.48,0.001,inf,STATIC
303,11,Obstacle,1.48,0.001,inf,STATIC
304,11,Obstacle,1.479,0.002,inf,STATIC
305,11,Obstacle,1.479,0.002,inf,STATIC
308,29,Obstacle,1.687,0.0,inf,STATIC
309,29,Obstacle,1.649,0.001,inf,DYNAMIC
310,29,Obstacle,1.645,0.002,inf,DYNAMIC
311,29,Obstacle,1.637,0.006,inf,DYNAMIC
312,29,Obstacle,1.633,0.011,153.67,DYNAMIC
313,29,Obstacle,1.628,0.016,99.13,STATIC
314,29,Obstacle,1.628,0.019,85.66,STATIC
315,29,Obstacle,1.63,0.019,87.67,STATIC
316,29,Obstacle,1.638,0.013,122.98,STATIC
316,11,Obstacle,1.479,0.002,inf,STATIC
317,29,Obstacle,1.645,0.005,inf,STATIC
317,11,Obstacle,1.479,0.002,inf,STATIC
320,11,Obstacle,1.479,0.002,inf,STATIC
321,11,Obstacle,1.479,0.003,inf,STATIC
322,11,Obstacle,1.479,0.002,inf,STATIC
323,11,Obstacle,1.479,0.002,inf,STATIC
324,11,Obstacle,1.479,0.002,inf,STATIC
325,11,Obstacle,1.479,0.002,inf,STATIC
326,11,Obstacle,1.479,0.002,inf,STATIC
327,11,Obstacle,1.479,0.002,inf,STATIC
328,11,Obstacle,1.479,0.002,inf,STATIC
329,11,Obstacle,1.479,0.002,inf,STATIC
330,11,Obstacle,1.479,0.002,inf,STATIC
331,11,Obstacle,1.479,0.002,inf,STATIC
332,11,Obstacle,1.479,0.002,inf,STATIC
333,11,Obstacle,1.479,0.002,inf,STATIC
333,29,Obstacle,1.652,-0.003,inf,STATIC
334,11,Obstacle,1.479,0.001,inf,STATIC
334,29,Obstacle,1.656,-0.01,inf,STATIC
335,11,Obstacle,1.479,0.001,inf,STATIC
335,29,Obstacle,1.66,-0.016,inf,STATIC
336,11,Obstacle,1.479,0.001,inf,STATIC
337,11,Obstacle,1.479,0.001,inf,STATIC
338,11,Obstacle,1.479,0.001,inf,STATIC
339,11,Obstacle,1.479,0.001,inf,STATIC
341,34,Obstacle,1.054,0.0,inf,STATIC
342,34,Obstacle,1.06,-0.0,inf,DYNAMIC
343,34,Obstacle,1.06,-0.0,inf,DYNAMIC
344,34,Obstacle,1.058,0.0,inf,DYNAMIC
344,29,Obstacle,1.662,-0.02,inf,STATIC
345,34,Obstacle,1.056,0.002,inf,DYNAMIC
345,29,Obstacle,1.663,-0.023,inf,STATIC
346,34,Obstacle,1.053,0.005,inf,STATIC
346,29,Obstacle,1.669,-0.027,inf,STATIC
347,34,Obstacle,1.05,0.009,inf,STATIC
348,34,Obstacle,1.047,0.012,89.05,STATIC
349,34,Obstacle,1.043,0.015,67.35,STATIC
350,34,Obstacle,1.04,0.019,54.41,STATIC
351,34,Obstacle,1.035,0.023,44.79,STATIC
352,34,Obstacle,1.031,0.027,38.38,STATIC
353,34,Obstacle,1.026,0.031,33.4,STATIC
354,34,Obstacle,1.02,0.035,29.17,STATIC
355,34,Obstacle,1.011,0.04,25.06,STATIC
356,34,Obstacle,1.001,0.047,21.52,STATIC
357,34,Obstacle,0.992,0.053,18.7,STATIC
358,34,Obstacle,0.983,0.059,16.71,STATIC
359,34,Obstacle,0.976,0.064,15.25,STATIC
360,34,Obstacle,0.968,0.068,14.14,STATIC
361,34,Obstacle,0.962,0.072,13.35,STATIC
362,34,Obstacle,0.957,0.074,12.86,STATIC
363,34,Obstacle,0.954,0.076,12.62,STATIC
364,34,Obstacle,0.95,0.076,12.49,STATIC
365,34,Obstacle,0.947,0.076,12.48,STATIC
366,34,Obstacle,0.942,0.076,12.4,STATIC
367,34,Obstacle,0.935,0.076,12.24,STATIC
368,34,Obstacle,0.928,0.077,12.01,STATIC
369,34,Obstacle,0.921,0.079,11.73,STATIC
370,34,Obstacle,0.915,0.08,11.49,STATIC
371,34,Obstacle,0.909,0.081,11.28,STATIC
372,34,Obstacle,0.903,0.082,11.08,STATIC
373,34,Obstacle,0.897,0.082,10.87,STATIC
374,34,Obstacle,0.891,0.083,10.73,STATIC
375,34,Obstacle,0.884,0.084,10.49,STATIC
376,34,Obstacle,0.875,0.086,10.2,STATIC
377,34,Obstacle,0.867,0.088,9.9,STATIC
378,34,Obstacle,0.86,0.089,9.66,STATIC
379,34,Obstacle,0.855,0.09,9.52,STATIC
380,34,Obstacle,0.85,0.09,9.43,STATIC
381,34,Obstacle,0.846,0.09,9.41,STATIC
382,34,Obstacle,0.842,0.089,9.43,STATIC
383,34,Obstacle,0.839,0.088,9.51,STATIC
384,34,Obstacle,0.836,0.087,9.6,STATIC
385,34,Obstacle,0.831,0.086,9.69,STATIC
386,34,Obstacle,0.827,0.085,9.75,STATIC
387,34,Obstacle,0.823,0.084,9.82,STATIC
388,34,Obstacle,0.819,0.083,9.89,STATIC
389,34,Obstacle,0.816,0.082,9.99,STATIC
390,34,Obstacle,0.812,0.08,10.09,STATIC
391,34,Obstacle,0.809,0.079,10.22,STATIC
392,34,Obstacle,0.806,0.078,10.35,STATIC
393,34,Obstacle,0.802,0.077,10.46,STATIC
394,34,Obstacle,0.799,0.076,10.57,STATIC
395,34,Obstacle,0.797,0.074,10.73,STATIC
396,34,Obstacle,0.794,0.073,10.9,STATIC
397,34,Obstacle,0.789,0.072,10.99,STATIC
398,34,Obstacle,0.785,0.071,11.05,STATIC
399,34,Obstacle,0.782,0.07,11.13,STATIC
400,34,Obstacle,0.779,0.069,11.22,STATIC
401,34,Obstacle,0.776,0.068,11.34,STATIC
402,34,Obstacle,0.773,0.067,11.52,STATIC
403,34,Obstacle,0.77,0.066,11.68,STATIC
404,34,Obstacle,0.767,0.065,11.83,STATIC
405,34,Obstacle,0.764,0.064,11.94,STATIC
406,34,Obstacle,0.761,0.063,12.06,STATIC
407,34,Obstacle,0.759,0.062,12.24,STATIC
408,34,Obstacle,0.757,0.061,12.48,STATIC
409,34,Obstacle,0.754,0.06,12.66,STATIC
410,34,Obstacle,0.752,0.059,12.83,STATIC
411,34,Obstacle,0.748,0.058,12.96,STATIC
412,34,Obstacle,0.745,0.057,13.13,STATIC
413,34,Obstacle,0.743,0.055,13.39,STATIC
414,34,Obstacle,0.741,0.054,13.77,STATIC
415,34,Obstacle,0.739,0.052,14.18,STATIC
416,34,Obstacle,0.737,0.051,14.56,STATIC
417,34,Obstacle,0.734,0.049,14.95,STATIC
418,34,Obstacle,0.731,0.048,15.2,STATIC
419,34,Obstacle,0.728,0.047,15.39,STATIC
420,34,Obstacle,0.725,0.046,15.61,STATIC
421,34,Obstacle,0.723,0.045,15.91,STATIC
422,34,Obstacle,0.721,0.044,16.24,STATIC
423,34,Obstacle,0.718,0.044,16.51,STATIC
424,34,Obstacle,0.715,0.043,16.67,STATIC
425,34,Obstacle,0.712,0.043,16.71,STATIC
426,34,Obstacle,0.708,0.043,16.64,STATIC
427,34,Obstacle,0.704,0.043,16.55,STATIC
428,34,Obstacle,0.701,0.043,16.45,STATIC
429,34,Obstacle,0.699,0.043,16.41,STATIC
430,34,Obstacle,0.696,0.042,16.47,STATIC
431,34,Obstacle,0.695,0.042,16.67,DYNAMIC
432,34,Obstacle,0.693,0.041,16.91,DYNAMIC
