frame_id,timestamp,fps,total_detections,global_action
1,1776479559.1893592,11.83,0,GO
2,1776479559.378551,0.18,0,GO
3,1776479559.4703183,8.22,0,GO
4,1776479559.5612397,10.56,0,GO
5,1776479559.6560035,10.53,0,GO
6,1776479559.7505536,10.79,0,GO
7,1776479559.8421664,10.8,0,GO
8,1776479559.9367979,10.56,0,GO
9,1776479560.031483,10.69,0,GO
10,1776479560.1261086,10.45,0,GO
11,1776479560.2261562,10.35,0,GO
12,1776479560.3179724,10.64,0,GO
13,1776479560.410593,10.55,0,GO
14,1776479560.49174,12.37,0,GO
15,1776479560.5863407,10.91,0,GO
16,1776479560.678588,10.52,0,GO
17,1776479560.7733219,10.6,0,GO
18,1776479560.8672187,10.65,0,GO
19,1776479560.9629955,10.58,0,GO
20,1776479561.072276,10.31,0,GO
21,1776479561.170864,9.07,0,GO
22,1776479561.2287831,10.01,0,GO
23,1776479561.2917862,17.09,0,GO
24,1776479561.336295,21.74,0,GO
25,1776479561.382295,21.05,0,GO
26,1776479561.4331946,20.83,0,GO
27,1776479561.4771955,21.79,0,GO
28,1776479561.523711,20.83,0,GO
29,1776479561.5727112,21.5,0,GO
30,1776479561.6172209,21.28,0,GO
31,1776479561.664222,21.5,0,GO
32,1776479561.7177458,20.83,0,GO
33,1776479561.7637348,20.61,0,GO
34,1776479561.8152637,20.83,0,GO
35,1776479561.876262,15.99,0,GO
36,1776479561.9377806,16.13,0,GO
37,1776479561.9851282,21.05,0,GO
38,1776479562.0296412,21.58,0,GO
39,1776479562.0726411,21.05,0,GO
40,1776479562.1221526,21.27,0,GO
41,1776479562.1681526,21.05,0,GO
42,1776479562.216669,20.83,0,GO
43,1776479562.2626693,21.05,0,GO
44,1776479562.3152914,20.83,0,GO
45,1776479562.3602924,21.0,0,GO
46,1776479562.4067996,21.74,0,GO
47,1776479562.4547997,21.05,0,GO
48,1776479562.4988043,21.28,0,GO
49,1776479562.549317,20.89,0,GO
50,1776479562.5973148,21.0,0,GO
51,1776479562.64431,21.27,0,GO
52,1776479562.692322,20.83,0,GO
53,1776479562.740859,20.83,0,GO
54,1776479562.788859,21.04,0,GO
55,1776479562.8323724,20.83,0,GO
56,1776479562.8843722,21.05,0,GO
57,1776479562.9299023,20.83,0,GO
58,1776479562.9779005,21.05,0,GO
59,1776479563.0244112,22.22,0,GO
60,1776479563.0704112,21.05,0,GO
61,1776479563.1159256,20.83,0,GO
62,1776479563.1679246,21.05,0,GO
63,1776479563.2164345,21.28,0,GO
64,1776479563.259435,20.61,0,GO
65,1776479563.3099494,20.83,0,GO
66,1776479563.3519492,21.97,0,GO
67,1776479563.3989573,21.28,0,GO
68,1776479563.4474597,21.05,0,GO
69,1776479563.492462,21.28,0,GO
70,1776479563.540967,20.62,0,GO
71,1776479563.5909693,21.74,0,GO
72,1776479563.6354778,21.74,0,GO
73,1776479563.681283,21.05,0,GO
74,1776479563.7327948,20.92,0,GO
75,1776479563.7757947,21.5,0,GO
76,1776479563.8283067,21.28,0,GO
77,1776479563.8713064,21.5,0,GO
78,1776479563.9188216,20.83,0,GO
79,1776479563.9638226,21.5,0,GO
80,1776479564.0123367,21.28,0,GO
81,1776479564.056336,21.5,0,GO
82,1776479564.1043406,20.83,0,GO
83,1776479564.153845,21.05,0,GO
84,1776479564.1990767,21.74,0,GO
85,1776479564.2465832,20.95,0,GO
86,1776479564.293587,20.83,0,GO
87,1776479564.3440912,21.05,0,GO
88,1776479564.3900912,21.27,0,GO
89,1776479564.4385984,20.41,0,GO
90,1776479564.4825997,21.98,0,GO
91,1776479564.5301225,21.27,0,GO
