frame_id,timestamp,fps,total_detections,global_action
1,1774688465.4929748,39.8,1,STOP
2,1774688465.5805662,0.74,1,STOP
3,1774688465.6467578,16.73,1,STOP
4,1774688465.7053032,16.13,1,STOP
5,1774688465.7713032,15.99,1,STOP
6,1774688465.8308196,15.87,1,STOP
7,1774688465.8963306,16.0,1,STOP
8,1774688465.9573312,15.75,1,STOP
9,1774688466.0220246,15.62,1,STOP
10,1774688466.0865571,15.7,1,STOP
11,1774688466.145064,15.62,1,STOP
12,1774688466.210578,15.63,1,STOP
13,1774688466.2745776,15.74,1,STOP
14,1774688466.3400846,15.5,1,STOP
15,1774688466.399593,15.87,1,STOP
16,1774688466.4645927,16.0,1,STOP
17,1774688466.5268319,15.69,1,STOP
18,1774688466.593339,15.75,1,STOP
19,1774688466.6583412,15.75,1,STOP
20,1774688466.718863,15.62,1,STOP
21,1774688466.7788575,15.74,1,STOP
22,1774688466.842363,16.0,1,STOP
23,1774688466.904876,15.87,1,STOP
24,1774688466.9748755,15.75,1,STOP
25,1774688467.0366657,15.62,1,STOP
26,1774688467.0896688,17.93,1,STOP
27,1774688467.1571758,14.39,1,STOP
28,1774688467.2267106,15.62,1,STOP
29,1774688467.2857094,15.75,1,STOP
30,1774688467.3532197,15.5,1,STOP
31,1774688467.4147441,15.62,1,STOP
32,1774688467.4767442,15.99,1,STOP
33,1774688467.5292568,18.52,1,OVERTAKE
34,1774688467.587262,17.39,1,OVERTAKE
35,1774688467.652775,15.5,1,OVERTAKE
36,1774688467.7153192,16.39,1,OVERTAKE
37,1774688467.7813234,15.26,1,OVERTAKE
38,1774688467.8433547,15.74,1,OVERTAKE
39,1774688467.9078937,15.74,1,OVERTAKE
40,1774688467.9698908,15.74,1,OVERTAKE
41,1774688468.03067,17.86,1,OVERTAKE
42,1774688468.1001842,13.93,1,OVERTAKE
43,1774688468.1651845,15.74,1,OVERTAKE
44,1774688468.2257018,15.63,1,OVERTAKE
45,1774688468.28872,15.74,1,OVERTAKE
46,1774688468.3432329,18.34,1,OVERTAKE
47,1774688468.4127476,14.29,1,OVERTAKE
48,1774688468.4767475,15.74,1,OVERTAKE
49,1774688468.539259,16.0,1,OVERTAKE
50,1774688468.5947762,17.86,1,OVERTAKE
51,1774688468.6727886,13.79,1,OVERTAKE
52,1774688468.730336,16.39,1,OVERTAKE
53,1774688468.794837,15.26,1,OVERTAKE
54,1774688468.8598418,15.74,1,OVERTAKE
55,1774688468.9153652,18.18,1,OVERTAKE
56,1774688468.9743564,16.8,1,OVERTAKE
57,1774688469.036913,17.24,1,OVERTAKE
58,1774688469.0954313,15.26,1,OVERTAKE
59,1774688469.1534312,18.69,1,OVERTAKE
60,1774688469.2114778,16.67,1,OVERTAKE
61,1774688469.2704866,17.53,1,OVERTAKE
62,1774688469.323999,17.24,1,OVERTAKE
63,1774688469.376999,18.69,1,OVERTAKE
64,1774688469.4385154,18.18,1,OVERTAKE
65,1774688469.4960318,16.26,1,OVERTAKE
66,1774688469.5530298,17.39,1,OVERTAKE
67,1774688469.6145546,18.18,1,OVERTAKE
68,1774688469.6705544,15.74,1,OVERTAKE
69,1774688469.7280755,17.54,1,OVERTAKE
70,1774688469.7880995,18.34,1,OVERTAKE
71,1774688469.8566184,13.6,1,OVERTAKE
72,1774688469.9141395,17.54,1,OVERTAKE
73,1774688469.9701388,17.38,1,OVERTAKE
74,1774688470.0266635,17.86,1,OVERTAKE
75,1774688470.082667,17.69,1,OVERTAKE
76,1774688470.1421857,18.35,1,OVERTAKE
77,1774688470.1986904,16.39,1,OVERTAKE
78,1774688470.25269,18.34,1,OVERTAKE
79,1774688470.3142157,16.95,1,OVERTAKE
80,1774688470.370216,17.09,1,OVERTAKE
81,1774688470.4257362,17.86,1,OVERTAKE
82,1774688470.4837384,18.01,1,OVERTAKE
83,1774688470.53628,18.18,1,OVERTAKE
84,1774688470.6001713,15.74,1,OVERTAKE
85,1774688470.6581705,17.89,1,OVERTAKE
86,1774688470.7127023,17.86,1,OVERTAKE
87,1774688470.772704,17.69,1,OVERTAKE
88,1774688470.8372097,16.13,1,OVERTAKE
89,1774688470.8967383,16.0,1,OVERTAKE
90,1774688470.9527278,17.39,1,OVERTAKE
91,1774688471.011242,16.95,1,OVERTAKE
92,1774688471.0702496,17.39,1,OVERTAKE
93,1774688471.1267571,16.95,1,OVERTAKE
94,1774688471.1837604,18.01,1,OVERTAKE
95,1774688471.242276,18.02,1,OVERTAKE
96,1774688471.2987914,16.39,1,OVERTAKE
