frame_id,timestamp,fps,total_detections,global_action
1,1776908027.9312718,12.64,1,STOP
2,1776908028.0343013,0.24,1,STOP
3,1776908028.0928016,12.05,1,STOP
4,1776908028.1483743,17.01,1,STOP
5,1776908028.2102473,16.72,1,STOP
6,1776908028.2765646,15.9,1,STOP
7,1776908028.336766,15.94,1,STOP
8,1776908028.398969,15.88,1,STOP
9,1776908028.4584856,15.92,1,STOP
10,1776908028.5249805,16.12,1,STOP
11,1776908028.5934074,16.0,1,STOP
12,1776908028.6548212,16.14,1,STOP
13,1776908028.7191126,16.52,1,STOP
14,1776908028.7786033,15.51,1,STOP
15,1776908028.8426957,15.34,1,STOP
16,1776908028.9035068,16.12,1,STOP
17,1776908028.9675283,15.42,1,STOP
18,1776908029.0329971,15.52,1,STOP
19,1776908029.0973067,16.79,1,STOP
20,1776908029.1656764,15.53,1,STOP
21,1776908029.2410185,13.22,1,STOP
22,1776908029.3141108,15.46,1,STOP
23,1776908029.391157,12.73,1,STOP
24,1776908029.4633062,12.76,1,STOP
25,1776908029.5393696,12.78,1,STOP
26,1776908029.597703,16.41,1,STOP
27,1776908029.646904,16.5,1,STOP
28,1776908029.6979198,20.2,1,STOP
29,1776908029.7635906,15.92,1,STOP
30,1776908029.8288999,15.74,1,STOP
31,1776908029.885202,16.09,1,STOP
32,1776908029.9358947,21.35,1,STOP
33,1776908029.995016,15.95,1,OVERTAKE
34,1776908030.0598881,16.11,1,OVERTAKE
35,1776908030.1183584,16.45,1,OVERTAKE
36,1776908030.1622376,21.06,1,OVERTAKE
37,1776908030.2122478,20.2,1,OVERTAKE
38,1776908030.260406,21.04,1,OVERTAKE
39,1776908030.3079073,21.27,1,OVERTAKE
40,1776908030.3571942,21.44,1,OVERTAKE
41,1776908030.4133189,16.58,1,OVERTAKE
42,1776908030.4621015,20.39,1,OVERTAKE
43,1776908030.5137281,19.95,1,OVERTAKE
44,1776908030.574384,16.0,1,OVERTAKE
45,1776908030.6196709,22.08,1,OVERTAKE
46,1776908030.6691277,20.96,1,OVERTAKE
47,1776908030.7163439,20.85,1,OVERTAKE
48,1776908030.764058,20.96,1,OVERTAKE
49,1776908030.8110383,21.27,1,OVERTAKE
50,1776908030.8583903,21.35,1,OVERTAKE
51,1776908030.903849,22.01,1,OVERTAKE
52,1776908030.9519494,20.58,1,OVERTAKE
53,1776908031.0015075,20.79,1,OVERTAKE
54,1776908031.0495286,21.14,1,OVERTAKE
55,1776908031.1100426,15.94,1,OVERTAKE
56,1776908031.1571462,21.46,1,OVERTAKE
57,1776908031.203364,21.2,1,OVERTAKE
58,1776908031.2524016,21.03,1,OVERTAKE
59,1776908031.3128343,16.4,1,OVERTAKE
60,1776908031.3591166,21.38,1,OVERTAKE
61,1776908031.4033291,22.6,1,OVERTAKE
62,1776908031.454203,20.7,1,OVERTAKE
63,1776908031.5211701,15.99,1,OVERTAKE
64,1776908031.5790093,15.69,1,OVERTAKE
65,1776908031.6249056,22.28,1,OVERTAKE
66,1776908031.6759665,20.82,1,OVERTAKE
67,1776908031.7364008,15.89,1,OVERTAKE
68,1776908031.7851927,20.38,1,OVERTAKE
69,1776908031.8326,20.98,1,OVERTAKE
70,1776908031.8925207,16.31,1,OVERTAKE
71,1776908031.9420886,20.66,1,OVERTAKE
72,1776908032.0010684,16.86,1,OVERTAKE
73,1776908032.0497193,20.9,1,OVERTAKE
74,1776908032.0995426,21.24,1,OVERTAKE
75,1776908032.158379,15.87,1,OVERTAKE
76,1776908032.2129405,19.64,1,OVERTAKE
77,1776908032.2697036,16.59,1,OVERTAKE
78,1776908032.3184693,21.12,1,OVERTAKE
79,1776908032.3631065,21.62,1,OVERTAKE
80,1776908032.413108,20.08,1,OVERTAKE
81,1776908032.4616346,20.83,1,OVERTAKE
82,1776908032.5076346,21.04,1,OVERTAKE
83,1776908032.555653,20.84,1,OVERTAKE
84,1776908032.6131482,20.83,1,OVERTAKE
85,1776908032.6749043,16.2,1,OVERTAKE
86,1776908032.732934,15.27,1,OVERTAKE
87,1776908032.7949362,16.12,1,OVERTAKE
88,1776908032.8414528,20.83,1,OVERTAKE
89,1776908032.8910716,21.05,1,OVERTAKE
90,1776908032.953733,15.72,1,OVERTAKE
91,1776908033.0173028,15.81,1,OVERTAKE
92,1776908033.0643249,20.84,1,OVERTAKE
93,1776908033.110325,21.26,1,OVERTAKE
94,1776908033.1588416,20.84,1,OVERTAKE
95,1776908033.2078419,21.04,1,OVERTAKE
96,1776908033.2718523,16.13,1,OVERTAKE
97,1776908033.335651,16.11,1,OVERTAKE
98,1776908033.4026608,15.45,1,OVERTAKE
99,1776908033.457677,15.74,1,OVERTAKE
100,1776908033.5065796,20.61,1,OVERTAKE
101,1776908033.553979,22.51,1,OVERTAKE
102,1776908033.6014905,19.66,1,OVERTAKE
103,1776908033.6510005,21.05,1,OVERTAKE
104,1776908033.7130027,15.75,1,OVERTAKE
105,1776908033.7760293,15.75,1,OVERTAKE
106,1776908033.839544,15.99,1,OVERTAKE
107,1776908033.900544,16.26,1,OVERTAKE
108,1776908033.9495614,20.83,1,OVERTAKE
109,1776908034.002564,21.27,1,OVERTAKE
110,1776908034.060695,15.38,1,OVERTAKE
111,1776908034.1059842,22.02,1,OVERTAKE
112,1776908034.1540093,20.83,1,OVERTAKE
113,1776908034.210013,20.4,1,OVERTAKE
114,1776908034.266528,16.13,1,OVERTAKE
115,1776908034.3160682,20.2,1,OVERTAKE
116,1776908034.3766136,16.12,1,OVERTAKE
117,1776908034.426041,21.54,1,OVERTAKE
118,1776908034.4790957,19.38,1,OVERTAKE
119,1776908034.5366156,16.52,1,STOP
120,1776908034.5816076,21.5,1,STOP
121,1776908034.6361165,18.87,1,STOP
122,1776908034.6976202,16.12,1,STOP
123,1776908034.7601326,15.87,1,STOP
124,1776908034.8241444,16.53,1,STOP
125,1776908034.8901951,15.14,1,STOP
126,1776908034.9480934,16.77,1,STOP
127,1776908034.9990978,18.78,1,STOP
128,1776908035.0625703,16.26,1,STOP
129,1776908035.121579,16.67,1,STOP
130,1776908035.171085,20.62,1,STOP
131,1776908035.2183373,20.72,1,STOP
132,1776908035.2688441,19.42,1,STOP
133,1776908035.3308525,16.39,1,STOP
134,1776908035.3908672,16.39,1,STOP
135,1776908035.4423802,20.4,1,STOP
136,1776908035.5053813,15.5,1,STOP
137,1776908035.6031988,16.64,1,STOP
138,1776908035.6607332,10.67,1,STOP
139,1776908035.7272522,15.03,1,STOP
140,1776908035.7867625,16.12,1,STOP
141,1776908035.846427,16.94,1,STOP
142,1776908035.8999453,18.65,1,STOP
143,1776908035.9614625,16.8,1,STOP
144,1776908036.0274622,14.81,1,STOP
145,1776908036.0915084,15.74,1,STOP
146,1776908036.164024,16.25,1,STOP
147,1776908036.2160227,15.5,1,OVERTAKE
148,1776908036.2780337,16.8,1,OVERTAKE
149,1776908036.3290381,19.05,1,OVERTAKE
150,1776908036.3905418,16.53,1,OVERTAKE
151,1776908036.453571,15.74,1,OVERTAKE
152,1776908036.517571,15.26,1,OVERTAKE
153,1776908036.5797517,16.9,1,OVERTAKE
154,1776908036.6417708,15.75,1,OVERTAKE
155,1776908036.6897707,21.05,1,OVERTAKE
156,1776908036.739285,20.0,1,OVERTAKE
157,1776908036.8068104,16.25,1,OVERTAKE
158,1776908036.867318,15.03,1,OVERTAKE
159,1776908036.9293227,16.0,1,OVERTAKE
160,1776908036.9933324,16.95,1,OVERTAKE
161,1776908037.052859,15.62,1,OVERTAKE
162,1776908037.1028578,20.19,1,OVERTAKE
163,1776908037.1630397,16.26,1,OVERTAKE
164,1776908037.212065,21.36,1,OVERTAKE
165,1776908037.2605772,19.65,1,OVERTAKE
166,1776908037.3291004,15.26,1,OVERTAKE
167,1776908037.3916373,15.86,1,OVERTAKE
168,1776908037.4551501,16.13,1,OVERTAKE
169,1776908037.5166574,15.87,1,OVERTAKE
170,1776908037.5801897,15.5,1,OVERTAKE
171,1776908037.6437092,16.39,1,OVERTAKE
172,1776908037.7062135,15.87,1,OVERTAKE
173,1776908037.7697241,15.15,1,OVERTAKE
174,1776908037.8332381,15.27,1,OVERTAKE
175,1776908037.890497,17.6,1,OVERTAKE
176,1776908037.9440079,18.54,1,OVERTAKE
177,1776908038.008529,16.8,1,OVERTAKE
178,1776908038.0741289,14.92,1,OVERTAKE
179,1776908038.1405609,15.6,1,OVERTAKE
180,1776908038.1980727,16.28,1,OVERTAKE
181,1776908038.2605803,16.0,1,OVERTAKE
