frame_id,track_id,filter_mode,final_calculated_distance
77,2,1,0.925189
78,2,1,0.917681
79,2,1,0.910261
80,2,1,0.917681
81,2,1,0.910261
82,2,1,0.881642
83,2,1,0.816852
84,2,1,0.734803
85,2,1,0.63446
86,2,1,0.555575
87,2,1,0.512546
88,2,1,0.484204
89,2,1,0.476903
90,2,1,0.472184
91,2,1,0.472184
92,2,1,0.474534
93,2,1,0.474534
94,2,1,0.474534
95,2,1,0.476903
96,2,1,0.476903
97,2,1,0.476903
98,2,1,0.476903
99,2,1,0.479372
100,2,1,0.479372
101,2,1,0.479372
102,2,1,0.479372
103,2,1,0.479372
104,2,1,0.481778
105,2,1,0.481778
106,2,1,0.481778
107,2,1,0.481778
108,2,1,0.481778
109,2,1,0.481778
110,2,1,0.481778
111,2,1,0.481778
112,2,1,0.484204
113,2,1,0.484204
114,2,1,0.481778
115,2,1,0.484204
116,2,1,0.484204
117,2,1,0.484204
118,2,1,0.481778
119,2,1,0.481778
120,2,1,0.484204
121,2,1,0.484204
122,2,1,0.484204
123,2,1,0.484204
124,2,1,0.484204
125,2,1,0.481778
126,2,1,0.484204
127,2,1,0.484204
128,2,1,0.484204
129,2,1,0.484204
