frame_id,track_id,filter_mode,final_calculated_distance
50,2,2,0.964806
51,2,2,0.948625
52,2,2,0.9188
53,2,2,0.888976
54,2,2,0.878673
55,2,2,0.868369
56,2,2,0.855045
57,2,2,0.84224
60,2,2,0.829735
61,2,2,0.829735
62,2,2,0.823566
63,2,2,0.811406
64,2,2,0.805476
65,2,2,0.79399
66,2,2,0.793955
67,2,2,0.793919
68,2,2,0.788291
69,2,2,0.782664
70,2,2,0.782664
71,2,2,0.777145
72,2,2,0.777145
73,2,2,0.771735
74,2,2,0.771735
75,2,2,0.761086
76,2,2,0.755844
77,2,2,0.750667
78,2,2,0.740505
79,2,2,0.740505
80,2,2,0.73063
81,2,2,0.73063
82,2,2,0.720915
83,2,2,0.716163
84,2,2,0.711508
85,2,2,0.711508
86,2,2,0.706828
87,2,2,0.702242
88,2,2,0.697709
89,2,2,0.693229
90,2,2,0.6888
91,2,2,0.684421
92,2,2,0.680092
93,2,2,0.675812
94,2,2,0.675812
95,2,2,0.675812
96,2,2,0.66735
97,2,2,0.663254
98,2,2,0.655111
99,2,2,0.651105
100,2,2,0.647143
101,2,2,0.643223
102,2,2,0.643223
103,2,2,0.639344
104,2,2,0.635416
105,2,2,0.631572
106,2,2,0.627861
107,2,2,0.624142
108,2,2,0.624142
109,2,2,0.616865
110,2,2,0.616865
111,2,2,0.616865
112,2,2,0.606157
113,2,2,0.602613
114,2,2,0.59915
115,2,2,0.595673
116,2,2,0.588916
117,2,2,0.588916
118,2,2,0.588867
119,2,2,0.58224
120,2,2,0.58224
121,2,2,0.575638
122,2,2,0.566012
123,2,2,0.562897
124,2,2,0.559811
125,2,2,0.556808
126,2,2,0.556754
127,2,2,0.556754
128,2,2,0.547749
129,2,2,0.544747
130,2,2,0.538932
131,2,2,0.538876
132,2,2,0.533219
133,2,2,0.530455
134,2,2,0.530455
135,2,2,0.52209
136,2,2,0.52209
137,2,2,0.52209
138,2,2,0.516555
139,2,2,0.513878
140,2,2,0.511225
141,2,2,0.508593
142,2,2,0.503396
143,2,2,0.50083
144,2,2,0.498285
145,2,2,0.498285
146,2,2,0.495702
147,2,2,0.493198
148,2,2,0.490655
149,2,2,0.490655
150,2,2,0.490595
151,2,2,0.485687
152,2,2,0.483201
153,2,2,0.480796
154,2,2,0.478347
155,2,2,0.47598
156,2,2,0.473567
157,2,2,0.473503
158,2,2,0.471236
159,2,2,0.471172
160,2,2,0.468923
161,2,2,0.468859
162,2,2,0.462026
163,2,2,0.462026
164,2,2,0.45965
165,2,2,0.455214
166,2,2,0.45302
167,2,2,0.452952
168,2,2,0.450775
169,2,2,0.450775
170,2,2,0.448614
171,2,2,0.446469
172,2,2,0.4464
173,2,2,0.44427
174,2,2,0.442156
175,2,2,0.439987
176,2,2,0.439987
177,2,2,0.439987
178,2,2,0.439987
179,2,2,0.439916
180,2,2,0.439916
181,2,2,0.439916
182,2,2,0.437832
183,2,2,0.437832
184,2,2,0.437832
185,2,2,0.437761
186,2,2,0.437761
187,2,2,0.437761
188,2,2,0.437761
189,2,2,0.437761
190,2,2,0.437761
191,2,2,0.437761
192,2,2,0.437761
193,2,2,0.437761
194,2,2,0.437761
195,2,2,0.437761
196,2,2,0.437761
197,2,2,0.437761
198,2,2,0.437761
199,2,2,0.437832
200,2,2,0.437832
201,2,2,0.437832
202,2,2,0.437832
203,2,2,0.437761
204,2,2,0.437761
205,2,2,0.437761
206,2,2,0.437761
207,2,2,0.437832
208,2,2,0.437832
209,2,2,0.437832
210,2,2,0.437832
211,2,2,0.437832
212,2,2,0.437832
213,2,2,0.437832
214,2,2,0.437761
215,2,2,0.437761
216,2,2,0.437761
217,2,2,0.437761
218,2,2,0.437761
219,2,2,0.437761
220,2,2,0.439845
221,2,2,0.439845
222,2,2,0.439845
223,2,2,0.439845
224,2,2,0.439845
225,2,2,0.439845
226,2,2,0.439845
227,2,2,0.439845
228,2,2,0.437832
229,2,2,0.437761
230,2,2,0.437761
231,2,2,0.437761
232,2,2,0.437761
233,2,2,0.437761
234,2,2,0.437832
