frame_id,track_id,filter_mode,final_calculated_distance
3,1,3,0.426001
4,1,3,0.423824
5,1,3,0.423216
6,1,3,0.422806
7,1,3,0.4225
8,1,3,0.422271
9,1,3,0.422561
10,1,3,0.422949
11,1,3,0.423294
12,1,3,0.423561
13,1,3,0.423755
14,1,3,0.423884
15,1,3,0.423978
16,1,3,0.424037
17,1,3,0.424079
18,1,3,0.424105
19,1,3,0.424516
20,1,3,0.42457
21,1,3,0.42451
22,1,3,0.424819
23,1,3,0.424787
24,1,3,0.424662
25,1,3,0.424523
26,1,3,0.424408
27,1,3,0.424317
28,1,3,0.424623
29,1,3,0.424995
30,1,3,0.425318
31,1,3,0.425194
32,1,3,0.424586
33,1,3,0.42394
34,1,3,0.423387
35,1,3,0.422957
36,1,3,0.422635
37,1,3,0.422396
38,1,3,0.422225
39,1,3,0.422472
40,1,3,0.422797
41,1,3,0.423095
42,1,3,0.423714
43,1,3,0.424336
44,1,3,0.424866
45,1,3,0.425258
46,1,3,0.425546
47,1,3,0.425378
48,1,3,0.425103
49,1,3,0.424469
50,1,3,0.423829
51,1,3,0.423302
52,1,3,0.422894
53,1,3,0.42259
54,1,3,0.422366
55,1,3,0.422203
56,1,3,0.422455
57,1,3,0.42242
58,1,3,0.422309
59,1,3,0.422196
60,1,3,0.422099
61,1,3,0.422032
62,1,3,0.42198
63,1,3,0.422309
64,1,3,0.422696
65,1,3,0.423036
66,1,3,0.422942
67,1,3,0.422737
