frame_id,track_id,filter_mode,final_calculated_distance
3,1,2,0.647579
4,1,2,0.647579
5,1,2,0.647579
6,1,2,0.647579
7,1,2,0.647579
8,1,2,0.647579
9,1,2,0.647579
10,1,2,0.647579
11,1,2,0.647579
12,1,2,0.647579
13,1,2,0.647579
14,1,2,0.647579
15,1,2,0.647579
16,1,2,0.647579
17,1,2,0.647579
18,1,2,0.647614
19,1,2,0.647614
20,1,2,0.647614
21,1,2,0.647614
22,1,2,0.647614
23,1,2,0.647579
24,1,2,0.647579
25,1,2,0.647579
26,1,2,0.647579
27,1,2,0.647614
28,1,2,0.647614
29,1,2,0.647614
30,1,2,0.647579
31,1,2,0.647579
32,1,2,0.647579
33,1,2,0.647579
34,1,2,0.647579
35,1,2,0.647579
36,1,2,0.647579
37,1,2,0.647579
38,1,2,0.647579
39,1,2,0.647579
40,1,2,0.647614
41,1,2,0.647614
42,1,2,0.647614
43,1,2,0.647614
44,1,2,0.647614
45,1,2,0.647614
46,1,2,0.647614
47,1,2,0.647579
48,1,2,0.647579
49,1,2,0.647579
50,1,2,0.647579
51,1,2,0.647579
52,1,2,0.647614
53,1,2,0.647579
54,1,2,0.647614
55,1,2,0.647614
56,1,2,0.647614
57,1,2,0.647614
58,1,2,0.647614
59,1,2,0.647614
60,1,2,0.647614
61,1,2,0.647614
62,1,2,0.647614
63,1,2,0.647614
64,1,2,0.647614
65,1,2,0.647614
66,1,2,0.647579
67,1,2,0.647579
68,1,2,0.647579
69,1,2,0.647579
70,1,2,0.647579
71,1,2,0.647579
72,1,2,0.647579
73,1,2,0.647579
74,1,2,0.647579
75,1,2,0.647579
76,1,2,0.647579
77,1,2,0.647579
78,1,2,0.647579
79,1,2,0.647579
80,1,2,0.647579
81,1,2,0.647579
82,1,2,0.647579
83,1,2,0.647579
84,1,2,0.647579
85,1,2,0.647579
86,1,2,0.647579
87,1,2,0.647579
88,1,2,0.647579
89,1,2,0.647579
90,1,2,0.647579
91,1,2,0.647579
92,1,2,0.647579
93,1,2,0.647579
94,1,2,0.647579
95,1,2,0.647579
96,1,2,0.647614
97,1,2,0.647579
98,1,2,0.647614
99,1,2,0.647614
100,1,2,0.647579
101,1,2,0.647579
102,1,2,0.647579
103,1,2,0.647579
104,1,2,0.647579
105,1,2,0.647579
106,1,2,0.647579
107,1,2,0.647614
108,1,2,0.647614
109,1,2,0.647579
110,1,2,0.647579
111,1,2,0.647614
112,1,2,0.647614
113,1,2,0.647579
114,1,2,0.647614
