frame_id,track_id,filter_mode,final_calculated_distance
68,1,3,0.765572
69,1,3,0.762695
70,1,3,0.760278
71,1,3,0.757284
72,1,3,0.754574
73,1,3,0.752563
74,1,3,0.748495
75,1,3,0.742686
76,1,3,0.735387
77,1,3,0.728161
78,1,3,0.720363
79,1,3,0.711967
80,1,3,0.704052
81,1,3,0.697852
82,1,3,0.691592
83,1,3,0.685625
84,1,3,0.680065
85,1,3,0.673196
86,1,3,0.666501
87,1,3,0.66033
88,1,3,0.653146
89,1,3,0.64551
90,1,3,0.638503
91,1,3,0.630516
92,1,3,0.622732
93,1,3,0.615284
94,1,3,0.608051
95,1,3,0.600543
96,1,3,0.593948
97,1,3,0.586948
98,1,3,0.579165
99,1,3,0.572029
100,1,3,0.566573
101,1,3,0.561255
102,1,3,0.555365
103,1,3,0.548301
104,1,3,0.542099
105,1,3,0.536452
106,1,3,0.531762
107,1,3,0.526888
108,1,3,0.521801
109,1,3,0.515575
110,1,3,0.511028
111,1,3,0.506833
112,1,3,0.503528
113,1,3,0.49951
114,1,3,0.494685
115,1,3,0.489838
116,1,3,0.484182
117,1,3,0.478127
118,1,3,0.47334
119,1,3,0.469317
120,1,3,0.464477
121,1,3,0.458839
122,1,3,0.45328
123,1,3,0.448481
124,1,3,0.445102
125,1,3,0.440822
126,1,3,0.436459
127,1,3,0.432496
128,1,3,0.426892
129,1,3,0.421314
130,1,3,0.416762
131,1,3,0.413295
132,1,3,0.408657
133,1,3,0.404903
134,1,3,0.399647
135,1,3,0.395324
136,1,3,0.391348
137,1,3,0.387341
138,1,3,0.383297
139,1,3,0.379905
140,1,3,0.376454
141,1,3,0.372613
142,1,3,0.369471
143,1,3,0.366244
144,1,3,0.363389
145,1,3,0.361159
146,1,3,0.35959
147,1,3,0.358544
148,1,3,0.357885
149,1,3,0.35755
150,1,3,0.356975
151,1,3,0.35755
152,1,3,0.358434
153,1,3,0.359369
154,1,3,0.360144
155,1,3,0.360894
156,1,3,0.361503
157,1,3,0.362068
158,1,3,0.362553
159,1,3,0.362903
160,1,3,0.363321
161,1,3,0.363606
162,1,3,0.364247
163,1,3,0.364874
164,1,3,0.365401
165,1,3,0.365904
166,1,3,0.366252
167,1,3,0.36655
168,1,3,0.36685
169,1,3,0.367089
170,1,3,0.367293
171,1,3,0.367466
172,1,3,0.367617
173,1,3,0.367749
174,1,3,0.367886
175,1,3,0.367994
176,1,3,0.3681
177,1,3,0.367895
178,1,3,0.367342
179,1,3,0.366811
189,1,3,0.366356
190,1,3,0.36602
191,1,3,0.366086
192,1,3,0.366273
193,1,3,0.366469
194,1,3,0.36665
195,1,3,0.366801
196,1,3,0.366925
197,1,3,0.367035
198,1,3,0.367373
199,1,3,0.367822
200,1,3,0.368198
201,1,3,0.368485
202,1,3,0.368708
203,1,3,0.368882
204,1,3,0.369009
205,1,3,0.369108
206,1,3,0.369187
207,1,3,0.369246
208,1,3,0.36929
209,1,3,0.369328
210,1,3,0.369358
211,1,3,0.36938
212,1,3,0.3694
213,1,3,0.369416
214,1,3,0.369429
215,1,3,0.369441
216,1,3,0.369452
217,1,3,0.36946
218,1,3,0.369468
219,1,3,0.369476
220,1,3,0.369482
221,1,3,0.369488
222,1,3,0.369493
223,1,3,0.3695
224,1,3,0.369504
225,1,3,0.369508
226,1,3,0.369512
227,1,3,0.369516
228,1,3,0.369518
229,1,3,0.369523
230,1,3,0.369526
231,1,3,0.369528
232,1,3,0.369531
233,1,3,0.369531
234,1,3,0.369535
235,1,3,0.369538
236,1,3,0.369539
237,1,3,0.369542
238,1,3,0.369544
239,1,3,0.369546
240,1,3,0.369547
241,1,3,0.369547
242,1,3,0.369549
243,1,3,0.369551
244,1,3,0.369552
245,1,3,0.369554
246,1,3,0.369555
247,1,3,0.369556
