frame_id,track_id,class,dist_m,speed_ms,ttc_s,state
1,1,Obstacle,1.503,0.0,inf,STATIC
2,1,Obstacle,1.515,-0.002,inf,DYNAMIC
3,1,Obstacle,1.514,-0.003,inf,DYNAMIC
4,1,Obstacle,1.512,-0.003,inf,DYNAMIC
5,1,Obstacle,1.51,-0.002,inf,DYNAMIC
6,1,Obstacle,1.508,-0.001,inf,STATIC
7,1,Obstacle,1.506,0.0,inf,STATIC
8,1,Obstacle,1.505,0.001,inf,STATIC
9,1,Obstacle,1.505,0.002,inf,STATIC
10,1,Obstacle,1.504,0.003,inf,STATIC
11,1,Obstacle,1.504,0.003,inf,STATIC
12,1,Obstacle,1.503,0.004,inf,STATIC
13,1,Obstacle,1.503,0.004,inf,STATIC
14,1,Obstacle,1.503,0.004,inf,STATIC
15,1,Obstacle,1.503,0.004,inf,STATIC
16,1,Obstacle,1.503,0.004,inf,STATIC
17,1,Obstacle,1.503,0.004,inf,STATIC
18,1,Obstacle,1.503,0.004,inf,STATIC
19,1,Obstacle,1.503,0.004,inf,STATIC
20,1,Obstacle,1.503,0.004,inf,STATIC
21,1,Obstacle,1.503,0.004,inf,STATIC
22,1,Obstacle,1.503,0.003,inf,STATIC
23,1,Obstacle,1.503,0.003,inf,STATIC
24,1,Obstacle,1.503,0.003,inf,STATIC
25,1,Obstacle,1.503,0.003,inf,STATIC
26,1,Obstacle,1.503,0.003,inf,STATIC
27,1,Obstacle,1.503,0.003,inf,STATIC
28,1,Obstacle,1.503,0.002,inf,STATIC
29,1,Obstacle,1.503,0.002,inf,STATIC
30,1,Obstacle,1.503,0.002,inf,STATIC
31,1,Obstacle,1.503,0.002,inf,STATIC
32,1,Obstacle,1.503,0.002,inf,STATIC
33,1,Obstacle,1.503,0.002,inf,STATIC
34,1,Obstacle,1.503,0.002,inf,STATIC
35,1,Obstacle,1.503,0.002,inf,STATIC
36,1,Obstacle,1.503,0.002,inf,STATIC
37,1,Obstacle,1.503,0.002,inf,STATIC
38,1,Obstacle,1.503,0.001,inf,STATIC
39,1,Obstacle,1.503,0.001,inf,STATIC
40,1,Obstacle,1.503,0.001,inf,STATIC
41,1,Obstacle,1.503,0.001,inf,STATIC
42,1,Obstacle,1.503,0.001,inf,STATIC
43,1,Obstacle,1.503,0.001,inf,STATIC
44,1,Obstacle,1.503,0.001,inf,STATIC
45,1,Obstacle,1.503,0.001,inf,STATIC
46,1,Obstacle,1.503,0.001,inf,STATIC
47,1,Obstacle,1.503,0.001,inf,STATIC
48,1,Obstacle,1.503,0.001,inf,STATIC
49,1,Obstacle,1.503,0.001,inf,STATIC
50,1,Obstacle,1.503,0.001,inf,STATIC
51,1,Obstacle,1.503,0.001,inf,STATIC
52,1,Obstacle,1.503,0.001,inf,STATIC
53,1,Obstacle,1.507,-0.0,inf,STATIC
54,1,Obstacle,1.507,-0.001,inf,STATIC
55,1,Obstacle,1.507,-0.001,inf,STATIC
56,1,Obstacle,1.506,-0.001,inf,STATIC
57,1,Obstacle,1.509,-0.002,inf,STATIC
58,1,Obstacle,1.512,-0.003,inf,STATIC
59,1,Obstacle,1.515,-0.005,inf,STATIC
60,1,Obstacle,1.518,-0.007,inf,STATIC
61,1,Obstacle,1.52,-0.008,inf,STATIC
62,1,Obstacle,1.521,-0.009,inf,STATIC
63,1,Obstacle,1.519,-0.009,inf,STATIC
64,1,Obstacle,1.515,-0.008,inf,STATIC
69,3,Obstacle,1.628,0.0,inf,STATIC
70,3,Obstacle,1.628,-0.0,inf,DYNAMIC
71,3,Obstacle,1.625,0.001,inf,DYNAMIC
72,3,Obstacle,1.619,0.003,inf,DYNAMIC
73,3,Obstacle,1.605,0.013,127.4,DYNAMIC
74,3,Obstacle,1.582,0.032,48.86,STATIC
75,3,Obstacle,1.56,0.057,27.47,STATIC
76,3,Obstacle,1.539,0.083,18.61,STATIC
77,3,Obstacle,1.526,0.103,14.81,STATIC
78,3,Obstacle,1.519,0.116,13.06,STATIC
79,3,Obstacle,1.514,0.123,12.29,STATIC
80,3,Obstacle,1.512,0.125,12.08,STATIC
81,3,Obstacle,1.511,0.124,12.21,STATIC
82,3,Obstacle,1.51,0.12,12.56,STATIC
83,3,Obstacle,1.511,0.115,13.09,STATIC
84,3,Obstacle,1.511,0.11,13.76,STATIC
85,3,Obstacle,1.511,0.104,14.59,STATIC
86,3,Obstacle,1.511,0.097,15.57,STATIC
90,3,Obstacle,1.512,0.091,16.69,STATIC
91,3,Obstacle,1.512,0.084,17.95,STATIC
92,3,Obstacle,1.513,0.078,19.35,STATIC
93,3,Obstacle,1.513,0.072,20.89,STATIC
94,3,Obstacle,1.514,0.067,22.55,STATIC
95,3,Obstacle,1.514,0.062,24.36,STATIC
96,3,Obstacle,1.515,0.058,26.25,STATIC
97,3,Obstacle,1.516,0.054,28.24,STATIC
98,3,Obstacle,1.517,0.05,30.3,STATIC
99,3,Obstacle,1.517,0.047,32.38,STATIC
100,3,Obstacle,1.517,0.044,34.54,STATIC
101,3,Obstacle,1.518,0.041,36.77,STATIC
102,3,Obstacle,1.518,0.039,39.1,STATIC
103,3,Obstacle,1.518,0.036,41.61,STATIC
104,3,Obstacle,1.518,0.034,44.32,STATIC
105,3,Obstacle,1.518,0.032,47.27,STATIC
106,3,Obstacle,1.519,0.03,50.45,STATIC
107,3,Obstacle,1.516,0.029,51.93,STATIC
108,3,Obstacle,1.515,0.028,53.67,STATIC
109,3,Obstacle,1.516,0.027,56.15,STATIC
110,3,Obstacle,1.517,0.026,59.46,STATIC
111,3,Obstacle,1.518,0.024,63.56,STATIC
112,3,Obstacle,1.519,0.022,68.19,STATIC
113,3,Obstacle,1.516,0.022,70.0,STATIC
114,3,Obstacle,1.512,0.022,69.28,STATIC
115,3,Obstacle,1.509,0.022,67.26,STATIC
116,3,Obstacle,1.507,0.023,65.09,STATIC
117,3,Obstacle,1.505,0.024,63.3,STATIC
118,3,Obstacle,1.503,0.024,62.12,STATIC
119,3,Obstacle,1.502,0.024,61.67,STATIC
120,3,Obstacle,1.502,0.024,61.8,STATIC
121,3,Obstacle,1.502,0.024,62.41,STATIC
122,3,Obstacle,1.501,0.024,63.41,STATIC
123,3,Obstacle,1.501,0.023,64.86,STATIC
124,3,Obstacle,1.505,0.022,69.49,STATIC
125,3,Obstacle,1.508,0.019,78.14,STATIC
126,3,Obstacle,1.512,0.016,91.69,STATIC
127,3,Obstacle,1.511,0.015,103.73,STATIC
128,3,Obstacle,1.509,0.014,111.27,STATIC
129,3,Obstacle,1.508,0.013,114.36,STATIC
130,3,Obstacle,1.506,0.013,114.61,STATIC
131,3,Obstacle,1.505,0.013,113.69,STATIC
132,3,Obstacle,1.504,0.013,112.67,STATIC
133,3,Obstacle,1.507,0.012,120.92,STATIC
134,3,Obstacle,1.507,0.012,128.79,STATIC
135,3,Obstacle,1.506,0.011,133.96,STATIC
136,3,Obstacle,1.505,0.011,136.57,STATIC
